kind,lam,alpha,k,samples,l,gens,runs,m_excl,t_mean0,t_mean1,t_mean2,t_mean3,t_mean4,t_mean5,t_mean6,t_mean7,t_mean8,t_mean9,t_mean10,t_mean11,t_mean12,t_mean13,t_mean14,t_mean15,t_mean16,t_mean17,t_mean18,t_mean19,t_mean20,t_mean21,t_mean22,t_mean23,t_mean24,t_mean25,t_mean26,t_mean27,t_mean28,t_mean29,t_mean30,t_mean31,t_mean32,t_mean33,t_mean34,t_mean35,t_mean36,t_mean37,t_mean38,t_mean39,t_mean40,t_mean41,t_mean42,t_mean43,t_mean44,t_mean45,t_mean46,t_mean47,t_mean48,t_mean49,t_mean50,t_mean51,t_mean52,t_mean53,t_mean54,t_mean55,t_mean56,t_mean57,t_mean58,t_mean59,t_mean60,t_mean61,t_mean62,t_mean63,t_mean64,t_mean65,t_mean66,t_mean67,t_mean68,t_mean69,t_mean70,t_mean71,t_mean72,t_mean73,t_mean74,t_mean75,t_mean76,t_mean77,t_mean78,t_mean79,t_mean80,t_mean81,t_mean82,t_mean83,t_mean84,t_mean85,t_mean86,t_mean87,t_mean88,t_mean89,t_mean90,t_mean91,t_mean92,t_mean93,t_mean94,t_mean95,t_mean96,t_mean97,t_mean98,t_mean99,t_mean100,t_mean101,t_mean102,t_mean103,t_mean104,t_mean105,t_mean106,t_mean107,t_mean108,t_mean109,t_mean110,t_mean111
r,10,1,5,200,1,50,1000,False,3.2917439582e-15,6.57943331853e-09,8.70153144051e-13,5.16201989927e-05,5.71907405485e-09,4.28868242302e-08,5.16546437866e-06,8.44839542849e-11,0.410709569585,8.15604455408e-05,0.000966950966621,8.09853792842e-13,0.000500357441027,4.08595997803e-07,3.68335364625e-07,0.00245175950491,7.94790178488e-08,0.00384511441107,1.08825732264e-09,8.38431181676e-07,0.000509638350754,6.678627808e-15,1.21692129671e-16,2.19962956526e-06,2.11723737176e-10,3.08184799346e-09,4.61192906889e-15,0.000968254011936,2.62622223027e-07,2.57858231604e-07,0.00106751489532,6.00641241673e-07,8.38976915614e-08,5.74148064231e-05,1.42513866766e-08,1.03136158143e-09,2.23421081286e-15,5.53604952357e-05,5.991336507e-09,4.66714668559e-08,0.00337249589167,2.38592534867e-06,7.49162129322e-06,2.04479371972e-07,5.34056140302e-08,2.04396131972e-06,1.01211119945e-15,1.44650138709e-19,1.66480329469e-14,2.91605468064e-19,5.09018811816e-19,1.16230366873e-16,7.97183932285e-15,2.29117706356e-11,1.46583429554e-08,2.03632599316e-15,1.38870739193e-15,7.35753711926e-11,5.18131700812e-12,5.98626311464e-07,6.75578614858e-08,1.02218855824e-07,2.48040079711e-07,3.18767221551e-09,0.416479213769,0.0303670170201,0.0379299848855,1.32214661233e-10,0.052898391438,0.00841688904043,0.00010023686283,2.6384669878e-05,6.2900999002e-07,0.00652937835984,1.04079691973e-07,0.000338254325329,0.000267925102139,4.76942590723e-15,5.34413069275e-17,1.0368209193e-06,3.25367617013e-10,3.95511207094e-08,1.57716465058e-12,0.0165484350401,1.09548260174e-05,0.00336912411762,1.56807743709e-05,3.78751169388e-06,1.42861184359e-07,6.990227377e-06,1.23934308227e-05,3.90380378753e-08,1.84876410464e-15,3.06722135408e-05,1.42588275049e-07,8.96289478509e-07,0.00189823479572,1.21296699397e-06,5.43091997017e-05,3.39255836754e-06,7.93169740584e-09,2.64373416072e-05,1.67653208187e-15,3.29276363944e-20,5.50177646482e-14,6.68075378029e-21,4.80101482905e-23,3.15443499938e-18,1.56265508865e-15,6.89534611621e-11,4.43481655953e-07,3.66150653158e-15
r,10,1,5,200,5,50,1000,False,9.66424263556e-16,3.2863781179e-06,2.25154898158e-10,0.000278676633898,7.84247994828e-09,1.09693653075e-05,2.89362663642e-06,4.38769439674e-11,0.410955240367,9.3114531479e-05,0.00110968656092,1.17215219955e-13,0.00108690374835,4.45028960248e-07,5.83706540745e-07,0.000334616713992,7.43186617592e-08,0.00110352245244,5.09679816588e-10,7.51134116663e-07,4.29820017673e-05,1.09823692171e-15,2.13451200066e-19,9.71958303924e-06,2.43545438623e-10,2.11564638388e-09,6.93043850969e-16,0.000864521444079,1.37256340269e-07,1.52724921703e-06,2.61615675222e-07,2.59585274323e-10,3.52709218705e-10,5.94775438744e-08,7.19426732349e-09,1.15403635869e-10,2.10747258945e-15,0.000197938030857,1.87133333582e-08,2.4849131815e-06,0.000454288579815,1.54018446026e-07,3.16494620765e-06,2.17760524189e-09,4.26320546865e-09,2.08092362458e-07,1.41774742912e-15,1.36788765247e-21,1.10835421698e-12,2.56900854853e-19,7.61148356955e-13,1.77508887841e-16,6.20808784922e-16,3.43131644253e-09,6.83376084526e-10,3.66086465989e-16,1.497879466e-15,5.76814089425e-08,1.19646935351e-09,1.96921228771e-05,7.1146693235e-07,8.55404645208e-07,4.53105166515e-08,2.81645939782e-09,0.409954949936,0.0321074450548,0.0404366376597,1.20591010093e-11,0.0593852944258,0.00967667749789,0.000199744511754,4.45151543573e-06,3.53764798378e-08,0.00578811476075,4.02768485682e-08,8.85820299783e-05,5.08626952517e-05,8.14957387211e-16,3.35298119077e-20,1.96008679433e-07,1.30530275615e-10,4.7354309832e-07,3.42450688192e-14,0.0216446914206,1.67568367637e-05,0.00375570506168,7.29408209019e-09,9.37443896743e-11,2.83229314375e-10,9.8198983781e-08,2.52454550398e-06,2.09005437978e-10,8.09688490026e-16,5.53830384914e-05,1.50191200696e-07,6.79442136921e-06,0.00023400008893,1.84779199258e-07,9.67535307924e-06,1.03544241236e-08,3.06784708082e-09,8.64482058908e-07,1.2549311271e-15,2.09263511197e-22,3.33262872534e-11,3.10415754494e-21,4.93538025899e-14,1.50787696839e-17,5.84682001375e-16,4.65404390296e-09,1.420988446e-08,3.26677542425e-16
r,10,1,5,200,10,50,1000,False,3.99396408848e-16,3.64964999981e-06,1.10465167067e-10,5.29136170089e-05,1.9078780583e-08,0.00016847111875,5.05506701002e-07,1.56063063353e-11,0.401070812354,7.91948716032e-05,0.000498934679335,3.98334922422e-13,0.000796313541348,3.70546584535e-07,1.10678749695e-06,0.000586970819732,3.19920407378e-08,0.0016164605808,1.47006309662e-10,6.65610822981e-06,1.02279455114e-05,3.37891614122e-16,1.73572257166e-14,8.2703346814e-06,6.81921632178e-10,1.90250991049e-09,1.02257438576e-13,0.00223813296481,2.11553931078e-07,6.98200904484e-07,5.18683765312e-05,4.75202317065e-05,1.89386657667e-08,0.000490705863665,2.38687336094e-08,2.76547211938e-10,3.82634468262e-16,0.000188818272878,1.53761431295e-08,2.81588651089e-07,0.00102395354416,7.2270625165e-07,5.1544902082e-06,4.29619895781e-07,3.45884443449e-09,1.43169468715e-07,4.65934895899e-16,2.00675759819e-16,1.14042480937e-13,1.42243963633e-16,3.07435336703e-11,1.91304532942e-16,3.25932026722e-16,5.81074515545e-09,2.57880244581e-09,7.54951821353e-16,4.58074035211e-16,2.07062177983e-08,8.60464049708e-11,5.06599661261e-07,1.85021106537e-07,0.000816963886875,4.51446959319e-08,8.11630141087e-10,0.420880830484,0.029303710582,0.0371301271128,3.19851402673e-11,0.0543443556366,0.00886189912686,3.80838073601e-05,3.10376138596e-06,4.09045731459e-08,0.00711463980625,2.21585135786e-08,0.000152411185679,1.75829728944e-05,5.17266277002e-16,3.5790115713e-13,4.7235635037e-07,5.88537759883e-09,4.45036778073e-08,1.59770217499e-10,0.023989513693,4.64169436754e-05,0.00637163357448,2.73510563258e-06,0.000379462860367,1.66370843807e-08,1.31231062914e-05,2.0146245909e-05,1.01786231093e-08,3.75385851483e-16,0.000100483444216,2.53934367593e-07,1.27112509492e-06,0.00144399389992,1.24834415175e-06,1.12287259345e-05,1.27821793381e-06,4.61410005375e-09,2.39757566554e-06,4.10197063989e-16,4.28875668815e-16,3.23057415658e-13,1.1564384928e-18,1.10082126851e-12,2.74276681102e-17,5.20998716486e-16,5.45620369816e-08,5.11645301789e-08,3.48207852239e-16
r,10,1,5,200,15,50,1000,False,1.75474968735e-16,1.8256486318e-08,7.71030359806e-13,2.72213899734e-06,9.00869107452e-10,6.13899325307e-09,1.63001944641e-06,2.24013399624e-11,0.406348580143,8.18663695377e-05,0.00058650051961,1.25247534654e-13,0.000611067269363,3.7291924864e-07,2.09442169227e-07,0.000238152720991,3.24459216656e-07,0.0033895613293,1.21589521114e-09,3.18450475175e-07,2.24147292296e-05,8.87581950622e-17,8.21363641224e-20,1.75687316976e-06,1.12299623197e-10,6.50363070781e-10,5.09699624661e-16,0.00139858114018,2.02344620975e-07,4.0372999636e-07,5.28459083953e-08,4.66832878622e-11,6.08059197656e-10,1.11608096176e-08,2.43391637684e-09,2.46683058143e-11,2.39286934488e-16,1.10169033552e-05,4.80252080068e-09,6.26027854879e-09,0.000479327309878,3.66099762551e-08,4.03040810715e-05,4.39166296233e-10,1.35365632836e-08,1.22527405607e-06,7.72579595903e-17,1.43149637055e-21,8.46088398285e-15,2.33325946012e-19,4.84668085289e-19,5.60931451551e-18,3.56291866088e-16,1.34281787562e-11,1.78957396669e-09,1.76468418278e-16,4.49429360966e-16,9.39046173218e-11,4.98550828846e-12,1.78133346974e-07,7.19480943748e-09,1.78860393344e-08,4.02843380997e-08,9.80907839363e-10,0.425267722274,0.0265978571737,0.0374154976493,2.06981204514e-11,0.0550144138687,0.00896394636958,5.97406268753e-05,8.08186076438e-06,1.75583367373e-07,0.00822629156138,6.80545194235e-09,0.000384831069047,3.50081775672e-05,3.99370257053e-16,9.33041822925e-21,1.13064058613e-07,1.00003591699e-10,1.16824843712e-08,3.66509025235e-14,0.0206848553923,1.63293613006e-05,0.00386600958224,1.03248693497e-09,2.89908382255e-12,1.51636230438e-09,2.37088941097e-08,8.07749820511e-07,4.56178628072e-10,2.55886898904e-16,2.28228969704e-05,9.01870148023e-08,1.01665335819e-07,0.000112572817078,1.03735745795e-07,0.00010195308082,1.57194714067e-09,2.67148974604e-10,3.63325868677e-06,4.55249605535e-17,2.12220401044e-23,2.35107713588e-13,5.24624815656e-21,2.11210938459e-23,2.83793291958e-19,2.85074941821e-16,1.40671816476e-10,5.30738968595e-08,3.31238282439e-16
r,10,1,10,200,1,50,1000,False,2.41533087188e-16,7.84035110795e-10,1.78340525795e-13,0.000217823228796,1.72522226121e-08,3.00500348043e-08,4.12736924649e-07,6.27850224303e-11,0.421915668767,7.34847858923e-05,0.000840290148294,2.49263120056e-13,0.000644437366083,3.99113383672e-07,7.13465882622e-07,0.00033313905394,1.09161664556e-07,0.0019195898041,1.0879695068e-09,2.03573520899e-07,2.35492756197e-05,1.50721039254e-15,1.59948968134e-16,3.46710860424e-06,9.90305089247e-11,1.12417396411e-09,1.22182251714e-15,0.000592520624265,7.74973083956e-08,3.89424575325e-07,0.00023233334066,1.88831955087e-05,6.96278616732e-08,2.74243093872e-07,2.3380126113e-09,2.41142673813e-10,9.88911538352e-16,5.66551110598e-05,9.26875271332e-09,1.73228334096e-07,0.00215252485169,4.13995830515e-06,0.000138934918214,3.33698708011e-07,3.27447629268e-08,5.69480617085e-07,4.77070821395e-16,3.49190845769e-19,3.73854649758e-15,8.43954049242e-20,4.46129008115e-20,1.66810246557e-17,1.2718673372e-15,1.63463335043e-12,2.03911281413e-09,2.4926028934e-15,1.86525152782e-15,9.53919295305e-12,8.02235397264e-13,5.05040815291e-06,2.45289081615e-07,7.11506417031e-08,1.40929659639e-07,1.71247984978e-09,0.407970627021,0.0292274461751,0.0381882258152,5.76188574338e-11,0.0534989327764,0.00939698623241,9.51040302089e-05,1.12726732444e-05,2.9076795045e-07,0.00587418110894,2.80475393371e-07,2.58050238376e-05,5.39347087597e-05,1.23456516065e-15,7.9392686752e-18,3.13625741442e-07,1.29250061218e-10,2.09511911925e-08,4.12211644092e-14,0.0210936014741,1.72316990622e-05,0.00300565468499,1.50580606933e-06,3.12184157266e-06,1.93485761613e-07,6.49927419289e-08,1.60738185148e-06,2.91436549986e-08,8.36205047625e-16,1.46748340267e-05,7.26782314082e-07,8.98112434336e-07,0.00220849787854,1.37045177251e-05,0.000106714652485,9.38277248862e-07,2.09946985177e-08,1.05994666454e-05,1.28413431295e-15,9.46569578574e-20,3.84711648904e-14,4.03366837426e-21,1.32773716477e-23,3.68717136045e-18,1.81493170012e-15,8.87722126616e-12,1.90082282908e-08,1.50017598053e-15
r,10,1,10,200,5,50,1000,False,1.16282611542e-15,2.77747223015e-09,4.16995375431e-12,1.6888635222e-06,5.31970288954e-10,4.76568885082e-08,6.43423442283e-06,1.17984683507e-10,0.416314717279,8.95084853251e-05,0.000659888531811,4.44653205373e-13,0.000553482526096,3.74234767054e-07,1.61503263446e-07,0.000397166680879,8.40784956621e-09,0.00225741412833,1.33629892479e-10,2.8136529721e-06,0.000119234295458,6.50136887159e-17,6.1132557539e-19,1.41076819206e-06,1.50772105482e-10,6.41609004747e-10,1.32323668929e-14,0.00112628455734,2.54264171524e-07,6.56680007098e-07,7.0631823921e-06,2.74409762854e-08,2.26803900472e-09,1.23477714809e-06,1.12098235777e-08,6.46934202764e-11,2.17173551213e-16,6.67554813819e-06,3.27664699337e-09,5.73034455736e-09,0.000359392777908,9.43726863467e-09,1.14481123621e-06,7.31315683623e-09,8.3691104935e-10,2.15906940602e-07,9.78393781485e-16,1.40293046902e-22,3.64119100621e-14,6.45028720538e-19,4.67224463735e-18,5.66951464087e-17,4.40019106781e-16,9.13269068268e-11,4.82156354502e-09,2.83170400796e-16,5.1323281186e-16,1.25805901076e-09,2.00799695212e-11,2.21996215247e-07,8.734439569e-09,1.01638314575e-07,9.29972321322e-08,2.0363879252e-09,0.409998666244,0.0309414594502,0.0404335776321,4.90045116426e-11,0.0546630871586,0.00999962018327,6.01333129963e-05,4.33429298143e-06,1.67490178148e-08,0.00677259745221,1.67333671336e-08,0.000531108169699,0.000177917623004,5.34695385112e-16,3.80538014292e-19,1.25786570203e-07,5.65472453328e-10,2.07476306986e-08,2.62511047393e-13,0.0204855303828,1.59382964726e-05,0.00334480177149,2.9963253687e-08,2.08786823419e-11,2.69745261293e-10,9.07074457727e-07,2.72085428432e-06,3.86315069394e-09,1.48340367244e-16,7.73548944851e-06,6.90313508343e-08,1.17347558568e-07,0.000621147536136,3.47194274499e-09,2.30233223917e-05,2.95184734595e-07,9.96968499883e-10,7.11039146043e-06,2.03919138153e-16,2.55526384395e-23,1.76100216603e-13,8.50096187588e-21,1.20914423673e-22,1.00460644617e-18,2.14207453766e-16,1.81830613964e-09,1.01479738909e-07,8.67382050785e-17
r,10,1,10,200,10,50,1000,False,1.26994802128e-15,4.70019203197e-10,7.31129375401e-14,9.10184689113e-06,8.25503448228e-10,4.96373399562e-10,2.3770444961e-07,1.85522805164e-11,0.414611196712,8.76274903092e-05,0.000506552106266,4.44982358539e-14,0.00068714197592,4.16907995527e-07,1.61387534579e-07,0.00041460228817,4.18569093823e-07,0.000409670294924,1.42969409741e-09,3.34942983527e-08,1.12515754378e-05,6.49524138035e-16,3.13397021141e-18,2.09281579855e-05,6.99977048168e-10,6.02550167344e-10,3.23733404606e-15,0.00115387442112,2.12290840337e-07,7.68253990762e-07,0.00011000354639,3.86927673347e-07,6.85958394348e-08,6.09037878996e-08,4.64702162129e-08,6.80195763219e-10,9.16803695372e-16,3.15452641575e-05,3.13462600426e-08,1.13285119597e-08,0.00429965398779,7.24674932996e-06,4.1980297629e-05,2.02063724184e-07,1.1911429665e-08,7.60639364214e-07,7.81719019388e-16,4.62031519723e-19,3.7092710288e-15,1.23878901084e-18,1.71277012627e-19,3.53694722413e-18,2.24007668789e-15,2.60391362241e-13,2.3606265355e-10,9.49397482375e-16,1.08154966535e-15,1.34741255412e-11,4.78128131151e-13,2.45191333864e-07,1.39865383102e-08,4.8286036415e-10,2.05622712859e-08,1.27011945718e-09,0.416220344877,0.0281897384385,0.037629962544,9.73084705865e-12,0.0509728837161,0.0100310422876,4.69644016919e-05,2.84592999773e-06,5.60408643545e-07,0.00682439696221,1.22189587737e-07,8.95331146516e-06,7.5309126727e-06,1.15203249894e-15,6.7456174733e-18,2.50950796516e-07,1.28400512055e-09,2.5099617019e-08,5.35679919318e-14,0.0208747701678,3.62229428416e-05,0.00285578774206,5.4705596974e-08,2.37617410138e-07,2.70156636128e-07,4.14436288834e-08,7.12060508183e-06,2.17922981441e-08,1.20407057422e-15,3.02704574758e-05,1.44528600528e-07,1.07960085077e-07,0.0032717207393,3.96588447099e-06,0.000573692793577,8.88248350971e-07,2.4062118438e-08,2.53761275684e-06,1.9599854214e-15,5.86426896501e-21,1.13693836965e-14,5.38188470653e-21,6.12422064107e-24,7.79786556497e-20,7.006542872e-16,4.36482681258e-12,4.73601595311e-09,1.06448374231e-15
r,10,1,10,200,15,50,1000,False,3.50130587918e-16,3.22744107679e-09,5.14555575038e-13,6.67144747306e-05,1.06983373865e-08,1.03344624965e-08,1.38300255912e-07,8.00014122545e-12,0.430674506551,8.10323681402e-05,0.000467250000462,6.40964942313e-14,0.000904731291675,5.21806495993e-07,2.64084125147e-07,0.000545243793053,4.22083209742e-07,0.00117826262195,5.73378665954e-10,1.41536243899e-06,7.90667804086e-06,1.52765237008e-15,4.81120114785e-15,3.17122541755e-05,1.01720074284e-09,1.16842288253e-08,3.27116564733e-15,0.0016784182861,3.62926544055e-07,6.03404560753e-07,3.1321937563e-05,0.000192819212424,8.90627882721e-08,3.27000034016e-07,1.86760471708e-09,3.52440357735e-09,1.0300730918e-15,0.000165808924248,5.37721358362e-08,9.40180560473e-08,0.00194690769781,6.59352069475e-05,2.45573508573e-05,1.15110355691e-07,4.03423981421e-09,2.01549370087e-07,9.52430484527e-16,9.50864034357e-17,5.58624730472e-15,3.26190709417e-19,3.07401135207e-18,5.11240585672e-18,5.78840285898e-16,1.47439515839e-11,5.09295284896e-10,6.60814365811e-16,9.32128570121e-16,1.76706010323e-11,1.04095480532e-11,2.90676279691e-06,1.31014849292e-07,2.09739179567e-08,2.08162770864e-08,8.05984886859e-10,0.393424191439,0.0277302569173,0.0368825538317,4.78321155568e-12,0.0582801639298,0.00928308483778,4.36268601616e-05,5.66757890428e-06,6.52374093991e-07,0.00481374478799,3.06156420472e-08,0.000201598776471,1.13905450667e-05,8.34163815327e-16,7.15243186111e-15,2.2388109183e-06,1.73866419721e-09,6.42079656652e-07,5.3241358709e-14,0.0229947010243,5.32083424492e-05,0.0038821584175,2.77644344347e-07,0.000320839488145,3.70184310777e-07,2.33190148294e-07,1.11311999929e-06,3.53827191201e-08,1.22105961717e-15,0.000343796271983,1.27785123481e-06,1.79133558204e-06,0.00307391947422,0.000521514061355,4.71545931501e-05,7.6427960805e-07,5.53183719005e-09,6.11906728199e-06,1.6173765811e-15,3.43211628629e-15,2.67655778826e-13,1.16974632216e-20,9.87884168695e-22,8.49840404297e-20,2.4186463308e-15,2.33445932659e-10,1.03521467224e-08,3.24291170578e-15
r,10,1,15,200,1,50,1000,False,1.76544663391e-15,1.71072819195e-09,6.20585256065e-13,3.64656665864e-06,9.59915726319e-10,2.57679834177e-07,4.78794346189e-08,3.93994143067e-11,0.41748087327,8.37429539458e-05,0.000724603661639,4.98318161072e-14,0.00069581532293,4.54841944586e-07,2.9896412682e-07,0.000749368019247,1.16219499165e-07,0.000491963127988,2.39268144282e-09,7.6932975576e-07,1.88523349879e-05,1.98754897619e-15,1.69657889382e-14,5.75761910225e-06,1.75571275054e-09,8.71481916783e-10,1.05413799029e-13,0.000855448513985,8.6096350354e-08,3.93645047247e-07,0.00112406482702,0.000710645093083,3.97476699544e-08,3.86034799769e-05,3.65109792954e-08,1.04286455537e-09,3.13525785702e-15,5.67729245225e-05,9.96510703099e-09,1.49068836322e-08,0.00155897369185,7.38833442059e-06,9.57374424885e-06,8.08414049552e-07,1.47055775799e-08,4.97386031512e-07,1.48019228714e-15,1.36662280246e-17,1.02353413942e-14,4.29403376329e-18,6.96611154055e-19,2.67729773835e-17,2.47037678234e-15,6.52908926213e-12,1.03877626257e-09,3.53243329633e-15,8.95733714053e-16,2.60492938664e-11,6.98174192521e-13,1.35652079019e-07,2.97851850891e-08,2.60014990503e-07,3.22522857195e-08,8.35625454597e-10,0.399483649219,0.0295282369905,0.0390665405402,1.27061209486e-11,0.0579189724151,0.00950196012347,4.51335238403e-05,4.55313324998e-05,2.56796313251e-07,0.00976911142446,9.58582364846e-08,4.65933400526e-05,1.88247017182e-05,1.37193418097e-15,1.68255702708e-13,9.79523130286e-08,1.02731255258e-09,5.67178685053e-08,3.26966279181e-12,0.0222259900528,1.7467944553e-05,0.00484929227556,7.5590838318e-06,0.000247196198917,2.74954654439e-07,7.23947513123e-05,1.44215759621e-05,5.46621496937e-08,2.22939272148e-15,2.54631491226e-05,2.16170202674e-07,9.93460084672e-08,0.00235343619571,2.15219661127e-05,0.000107657445674,7.03827058752e-06,1.77415425372e-08,4.38885474615e-06,3.10277618916e-15,8.72657829288e-17,6.84198128799e-14,9.08380944741e-21,2.43531981166e-22,2.67705484186e-19,1.86846305256e-15,1.32456827814e-10,3.90850683087e-08,2.43802912995e-15
r,10,1,15,200,5,50,1000,False,8.44325653974e-16,2.62944863648e-09,5.15141463544e-13,4.24418896568e-05,3.12237520096e-09,8.64068408759e-09,1.33113175053e-06,1.64581983032e-11,0.403741481751,8.08183480586e-05,0.000496752879694,1.25008569567e-13,0.00104882390084,4.50071145578e-07,5.05251405325e-07,0.000896619625231,2.43370211535e-07,0.00280656770568,3.54833275046e-09,4.45323726935e-07,0.000106702454631,5.62359614278e-16,7.87429255066e-18,1.03373650992e-05,1.95724302838e-10,1.16459913424e-09,1.85106195061e-15,0.00113332547986,1.43920221229e-07,3.10486809396e-07,3.26891815607e-05,2.50729955747e-07,8.92634246997e-08,1.01223409537e-07,8.05311710068e-09,4.588632379e-10,8.49184743329e-16,6.23010630274e-05,2.40887763387e-08,7.59663186748e-08,0.00138637602081,3.8303302376e-06,4.58975049452e-05,1.48173478009e-07,9.02691288457e-09,3.21687770412e-06,5.64716412615e-16,2.05705336027e-20,7.14084288456e-15,4.00958726342e-19,3.66454480763e-19,2.0912630799e-17,1.61043947247e-15,9.24067443572e-12,2.95104707031e-09,6.69294060359e-16,2.00512237013e-15,5.07980187211e-11,1.34041897539e-12,1.47459852054e-06,4.80872313559e-08,1.11041606056e-08,6.99255456701e-08,8.06342706576e-10,0.413409680505,0.0292451568095,0.038381016942,2.21637720713e-11,0.057388355577,0.00907893677767,5.11947285813e-05,2.00825306294e-05,6.28139060588e-07,0.00876723513147,1.68279960662e-07,9.78927625936e-05,5.40535583335e-05,3.50674521453e-15,3.35195016885e-18,5.38220472166e-07,1.17527460835e-10,8.73125148277e-08,1.24886483301e-13,0.023691539725,1.66911475201e-05,0.0050582976921,4.31861236552e-07,6.24508507244e-08,5.47046642394e-08,4.18475612547e-08,2.78211123702e-06,1.64579337954e-08,1.27942675566e-15,6.41939920237e-05,3.94984390507e-07,3.56906016364e-07,0.00264324048878,2.35071830775e-06,0.000110871603116,7.61620140356e-08,1.75271570842e-08,9.56198758252e-06,1.89751772658e-15,4.14104715201e-21,3.31796023046e-14,2.10258071533e-20,5.97412225949e-24,2.37056717158e-19,6.72389208857e-16,2.69839628002e-11,4.44213471933e-08,1.56628663232e-15
