kind,lam,alpha,k,samples,l,gens,runs,t_mean0,t_mean1,t_mean2,t_mean3,t_mean4,t_mean5,t_mean6,t_mean7,t_mean8,t_mean9,t_mean10,t_mean11,t_mean12,t_mean13,t_mean14,t_mean15,t_mean16,t_mean17,t_mean18,t_mean19,t_mean20,t_mean21,t_mean22,t_mean23,t_mean24,t_mean25,t_mean26,t_mean27,t_mean28,t_mean29,t_mean30,t_mean31,t_mean32,t_mean33,t_mean34,t_mean35,t_mean36,t_mean37,t_mean38,t_mean39
r,10,1,5,200,1,50,1000,1.04613636443e-11,0.380377604629,8.25591634534e-05,0.000281270592403,0.000265713229991,1.7470897537e-07,3.53695420199e-08,1.71941185782e-07,0.00379612426871,3.96245779148e-07,0.00130331236989,5.42268718499e-07,4.03173214312e-07,0.00070892420578,1.25618590453e-08,6.302507432e-08,1.09529935648e-05,5.24352067561e-05,8.82243627198e-09,1.26113476688e-17,4.38053255288e-10,0.399330355248,0.0303237103182,0.0344480556496,0.0413971740741,0.00747597991107,1.81140193147e-05,4.38727533962e-07,0.034075947942,0.000181327362708,0.0418840361699,0.000370930156578,0.0104029596261,0.0111761568592,1.10729988822e-07,3.74641429899e-05,0.000103931780474,0.00189259668798,5.36918236373e-09,1.85361164135e-21
r,10,1,5,200,5,50,1000,7.05406601749e-12,0.376607132604,8.48784492735e-05,0.000283060539804,0.000220837665246,1.31943401606e-07,3.0722697607e-08,1.47443097966e-08,0.00771218952137,1.43136247821e-06,0.000672192708149,1.7664751302e-07,5.24999423074e-07,0.00221627600343,6.199727622e-08,1.05501370509e-06,1.10589682145e-05,1.21017828487e-05,9.76711649928e-10,9.97783693773e-17,3.42928299937e-10,0.388313529293,0.0294395492045,0.0329064474687,0.0395903260126,0.00754038583129,3.12853861434e-05,2.44744812622e-07,0.0474982197031,0.00036965317226,0.0426834601235,3.78846951407e-05,0.00683280756038,0.0144374685982,1.43301373689e-07,0.000771662827479,0.000335220491787,0.00138855309888,1.48689072214e-09,2.99168992345e-21
r,10,1,5,200,10,50,1000,4.06937298784e-11,0.380224653674,6.8972399115e-05,0.00040501332895,0.000201267117666,1.20993377475e-07,2.32598078392e-07,2.20061500163e-08,0.00461767619897,5.39258893255e-07,0.0015649922111,1.34025911542e-07,4.62301186536e-07,0.00206865200562,3.372432325e-08,3.09541160918e-06,3.44343084486e-05,4.55256015699e-06,2.19118382212e-09,1.48936486237e-16,7.48711345687e-10,0.402737057455,0.0246991052972,0.0315000971449,0.0364840835515,0.00663201278621,4.53997928519e-05,1.31004279967e-07,0.0396340606343,0.000456644441659,0.042586859975,4.55109733671e-05,0.0120600928768,0.0110298898249,1.28171111119e-07,0.000738863032609,0.000866891905713,0.0012883138296,1.99076743369e-10,1.22247200923e-21
r,10,1,5,200,15,50,1000,4.79796567621e-12,0.402746939564,6.21432613487e-05,0.000323868089799,0.000245004868219,1.29037551639e-07,4.08237848249e-08,9.68129437852e-08,0.00227081517593,3.25775859736e-07,0.00127329498798,1.19476642449e-07,6.74129747529e-07,0.000289109398822,1.56934043158e-08,8.55454920316e-08,8.02246768416e-07,0.000117414254748,4.73466052739e-07,9.98870794911e-17,3.19051961839e-10,0.373697538463,0.027660334383,0.0340297575264,0.0376160294889,0.00660063896474,1.75853370856e-05,5.47834092016e-07,0.0469390939673,0.00011683927711,0.0412953955182,4.4738674363e-05,0.0123697412879,0.0106789625979,2.68659734186e-07,1.59498704611e-05,3.14511875835e-05,0.00155308525532,6.88774211378e-07,4.40868759567e-22
r,10,1,10,200,1,50,1000,5.28625713633e-12,0.395918579623,7.90640822442e-05,0.000275126106678,0.000210453753547,1.29409740082e-07,3.96764351178e-08,5.74157907276e-08,0.00391771089895,4.36217473435e-07,0.000845918443142,1.44873048082e-07,3.67042631319e-07,0.00114686014404,6.65683798067e-09,1.1546956199e-07,7.89881265382e-07,6.90360438397e-05,9.26883315089e-10,5.49402700412e-19,3.33831038678e-10,0.388310920492,0.0278102059954,0.0331659776655,0.040611372481,0.00656764813215,5.05048791231e-05,5.7271611141e-07,0.0442701384117,0.000157393188642,0.0360555904978,3.5404751729e-05,0.0120413383661,0.00771582919656,7.45533207632e-08,2.10997774365e-05,0.000137627713535,0.000583462870183,1.30758146939e-09,1.76954865233e-22
r,10,1,10,200,5,50,1000,1.28051873079e-11,0.379538266793,7.53643651665e-05,0.000526458361513,0.000227881474558,1.30454348455e-07,1.03999485988e-07,8.96748158694e-08,0.00624228615669,3.28775426371e-06,0.00165431199142,1.68892238899e-07,7.11201610833e-07,0.000956844468524,2.55727854701e-06,1.24992313875e-07,5.05214640399e-05,1.22821410467e-05,7.26007580253e-09,3.64402014273e-16,4.56001979423e-10,0.381003212582,0.0269180033646,0.0319434351258,0.0388051761601,0.00693355248907,2.71684847264e-05,2.30539841011e-07,0.0396733101329,0.000593913273842,0.0562286353367,6.92192903582e-05,0.0150082845015,0.0111350217493,1.24337484964e-05,3.82570952958e-05,0.00175434771337,0.000564368447921,3.07716126993e-08,1.64940504247e-21
r,10,1,10,200,10,50,1000,7.57200463673e-12,0.38607520584,7.86520927996e-05,0.000294218758023,0.00018179346222,1.18297377018e-07,3.27655009261e-08,1.04528060637e-07,0.00702600414504,3.34756066868e-06,0.00135914872999,1.76345133632e-06,7.95183727361e-07,0.00106665764208,2.63040674605e-08,9.91560182358e-07,2.72656261391e-05,6.63764359299e-05,5.6415490058e-09,3.063443466e-16,3.78395183822e-10,0.389430101522,0.0258885912236,0.0335081053829,0.0352337925074,0.00629753433909,1.74307330269e-05,9.32848129421e-07,0.0434413134128,0.000770607816609,0.0444571775159,0.000158114663179,0.0129567039293,0.00983754753423,3.42553641981e-07,6.53041638448e-05,0.00106828730514,0.000685597146333,6.99156845868e-09,1.36282974285e-20
r,10,1,10,200,15,50,1000,3.95032904477e-12,0.373286514957,8.32000443366e-05,0.00031403360395,0.000224186110333,1.59544747122e-07,2.01820299018e-08,7.52970964306e-08,0.00458068637736,7.98180806757e-07,0.0011277145714,1.4902351004e-07,4.09935578915e-07,0.000917241361805,2.87856184938e-07,5.42724701415e-06,7.46743097803e-06,4.50341670922e-05,4.00281867447e-09,3.76395502275e-15,3.31240776415e-10,0.393185702817,0.0295766400905,0.0352931293771,0.0447297099172,0.0072921050537,1.46773390399e-05,7.93631626023e-07,0.0424265765502,0.000220363666934,0.0404039459944,5.04378664415e-05,0.0132180575704,0.0106637476254,9.44383439519e-08,0.00119105493899,0.000413984876203,0.00072556510384,2.9134729398e-09,2.55489123138e-20
r,10,1,15,200,1,50,1000,3.79579269363e-12,0.390497668448,7.44724509672e-05,0.000298548834748,0.000244781595625,1.56278488499e-07,3.2005888271e-08,3.30411362413e-06,0.00477849416323,5.44657517554e-07,0.0010809286334,2.79047579644e-07,1.29685444441e-06,0.000728315538354,2.99283331715e-06,3.27206706566e-06,0.000158236639596,0.000147246036531,8.32070436612e-08,4.17172028556e-16,2.85271581743e-10,0.391755641934,0.0269782935906,0.0325744467395,0.0377086346811,0.0068502410721,1.71913033266e-05,1.27898606497e-07,0.0373906087696,0.000413591092024,0.0426046851583,4.61921139653e-05,0.0118007988275,0.0122371194533,8.59224857036e-06,0.000462529535252,0.000623831419808,0.00050677723548,4.32323249606e-08,1.13308835229e-19
r,10,1,15,200,5,50,1000,4.56232882311e-11,0.396375548515,7.47392454549e-05,0.00049716969205,0.000209312230649,1.28115143925e-07,3.62134518126e-07,4.48170274915e-08,0.0054134180054,1.25922135575e-06,0.00186569663377,1.63465911984e-07,5.29346039192e-07,0.00242668347773,5.07382564267e-07,1.18590737619e-08,2.27053586765e-05,1.41526865601e-05,3.94627770175e-10,7.61555016822e-17,9.37589694014e-10,0.376766744427,0.0280781486929,0.0344093262685,0.0402441999218,0.00644774122869,6.20801945235e-05,1.9267798211e-07,0.0393910729543,0.00054418912144,0.0428052987797,3.52985219387e-05,0.00927962196451,0.013164849914,1.15297487017e-06,1.33031310621e-05,0.00137640730359,0.000477937932657,4.26243643855e-10,1.17271181701e-22
r,10,1,15,200,10,50,1000,7.84143206457e-12,0.376903902243,7.46520325093e-05,0.000359851805211,0.000189734815245,1.34259268333e-07,8.97937627035e-08,1.62359138106e-08,0.00720463696512,6.57094016199e-07,0.00149703728404,2.00916115435e-07,6.67568728853e-07,0.00155941674459,4.71395378521e-08,2.97894556701e-06,4.37150532586e-05,9.04859026262e-06,9.26925668504e-10,8.19897236954e-17,4.06530079338e-10,0.383844762985,0.0287361683572,0.0351296474063,0.0373338724228,0.00740687497403,2.04589044371e-05,9.06208376844e-08,0.0474533199403,0.000268704214625,0.0445258715156,5.51333175391e-05,0.0114649697845,0.0129919862784,2.14726456297e-07,0.000453135829898,0.00140449445223,0.00106350235544,3.08632548333e-09,4.78588825247e-20
r,10,1,15,200,15,50,1000,2.09333437002e-11,0.375134168621,8.04086926346e-05,0.000342532183845,0.000191674560212,1.26123975152e-07,5.23758356171e-08,5.14234794921e-08,0.00408269834098,1.69535262499e-06,0.00136305673542,2.45023580841e-07,5.41441659205e-07,0.00129216339317,1.16197892483e-06,2.59936560867e-06,2.22143505785e-05,1.05616250579e-05,4.11031616578e-09,3.8180591606e-17,3.46226550282e-10,0.404262697763,0.0261653829335,0.0328212505883,0.0390315911406,0.00691826151911,5.21194237107e-05,2.59430815746e-07,0.0467503407857,0.000152034253056,0.0345233985661,6.01049929058e-05,0.0116382834344,0.0119226785162,2.13961559162e-06,0.000411492137318,0.00175472954627,0.0010072771722,2.11483216142e-09,1.08426601523e-21
