kind,lam,alpha,k,samples,l,gens,runs,t_mean0,t_mean1,t_mean2,t_mean3,t_mean4,t_mean5,t_mean6,t_mean7,t_mean8,t_mean9,t_mean10,t_mean11,t_mean12,t_mean13,t_mean14,t_mean15,t_mean16,t_mean17,t_mean18,t_mean19,t_mean20,t_mean21,t_mean22,t_mean23,t_mean24,t_mean25,t_mean26,t_mean27,t_mean28,t_mean29,t_mean30,t_mean31,t_mean32,t_mean33,t_mean34,t_mean35,t_mean36,t_mean37,t_mean38,t_mean39
rmd,10,1,5,200,1,50,1000,0.00797301956804,0.0859487117139,0.00699689873091,0.0461186907313,0.122655342107,0.0145067202903,0.0615432441249,0.00200482900365,0.0288871684931,0.00200557284615,0.0147591845272,0.00161001523482,0.0114427459386,0.000169361861324,0.00210843675949,0.000352205599359,0.000645306879599,0.0157787432864,0.00102264174786,0.00065576557045,0.0321138853036,0.0859487117139,0.0119332617512,0.0716879219415,0.19547884788,0.0271381657756,0.10377632086,0.00209491639893,0.0144997871509,0.004052569424,0.007057650653,0.000596964764781,0.00588835169793,7.98247067876e-05,0.000717117269276,0.000326261996566,0.000383130303455,0.00781512196478,0.00101526604844,0.00021131738151
rmd,10,1,5,200,5,50,1000,6.84513576601e-06,0.0125338399128,3.07961629193e-07,0.00087927623389,0.129487385178,5.28863873088e-06,0.00481382249131,1.21794457087e-07,0.0113974053478,1.76004770405e-06,0.00193525745882,2.40769274807e-08,0.000612576599363,1.27260459555e-07,4.59591179785e-07,1.81908641837e-08,6.58584045077e-07,0.000950659248591,4.04468328706e-08,5.37674007981e-06,0.00228307126738,0.0125338399128,6.32604723681e-07,0.00493724446044,0.735208816597,3.69987493581e-05,0.048348277823,2.33439080555e-05,0.0280838128097,5.46820310091e-07,0.00273526461377,1.04291876082e-07,0.00106269549663,8.17538080016e-07,5.5508647327e-05,3.46249201376e-08,1.49751571106e-06,0.00205509252812,4.29627962596e-08,1.10588902157e-06
rmd,10,1,5,200,10,50,1000,1.02349212624e-06,0.000237249683189,2.99409804931e-09,8.96246140311e-06,0.116580844404,1.13447815394e-08,0.00249853080776,1.41697699517e-09,0.00815150604516,2.07324232785e-06,0.000919659798944,4.0222260713e-10,0.000187021998262,7.61231855768e-08,5.9422715332e-08,1.76867142684e-09,5.30895611801e-08,0.000289481396357,3.49616550258e-09,1.71071185702e-06,4.49771702465e-05,0.000237249683189,6.22137300718e-13,3.7770822769e-05,0.798835878758,2.06693296286e-09,0.0274949848093,1.66009416074e-06,0.0414752707244,1.84811488927e-11,0.00121199514662,6.79869204906e-08,0.000182843675271,4.13737199151e-07,3.7749221244e-05,1.87318268535e-08,1.59433792869e-07,0.00155974295563,2.9583634339e-09,9.37904758779e-07
rmd,10,1,5,200,15,50,1000,5.49993241994e-07,4.00056647701e-06,2.51630529068e-09,4.83136150426e-08,0.166589746777,1.83847038719e-08,0.000911859465164,5.40067683579e-10,0.00750213612957,1.76824060789e-08,0.00141768714029,5.20783128148e-08,0.00011069869066,9.61624024481e-09,1.15910752563e-07,5.19085477238e-10,1.42903506731e-08,0.000143324910567,1.58019526963e-09,1.78994096051e-07,9.77179569734e-07,4.00056647701e-06,5.43105480325e-19,2.52681397818e-07,0.780062521804,1.02869111402e-13,0.00809954174788,2.50037851036e-06,0.031451006904,7.9648459943e-16,0.00288231507556,1.48890717453e-07,0.000174166830037,3.72532986846e-08,9.4284989449e-06,6.78103938368e-09,3.15396137122e-08,0.000632526110264,1.2305043467e-09,7.24295904432e-08
rmd,10,1,10,200,1,50,1000,0.000368590023403,0.121504102742,0.00460515345856,0.0368059607646,0.0978989345495,0.00967337320807,0.0211030310357,9.94298116195e-05,0.0147102564189,0.00049970053466,0.00678658960759,0.000481794941416,0.00379650655189,3.79077335983e-05,0.000121885384451,9.10285882506e-05,6.54545763506e-05,0.00407992279935,9.67209340539e-05,5.19443281307e-05,0.0132164638813,0.121504102742,0.0162958599986,0.0979457849452,0.267185811836,0.035827373895,0.079236732536,0.000827071439499,0.0163978114416,0.00196920549861,0.0109604289316,0.000518675579464,0.0088170002507,2.14050358774e-05,0.000153954682164,0.000374778180766,8.37428426497e-05,0.00568142785356,9.41086815886e-05,9.97175637375e-06
rmd,10,1,10,200,5,50,1000,6.08244573082e-08,0.0168951756425,9.40237262319e-08,0.000179938066869,0.0213077949813,6.74775277666e-07,0.000109653396929,5.47838602437e-10,0.00332845866426,8.99387316601e-08,0.00192015197899,9.75680940974e-08,0.000436713745651,4.09531797447e-07,5.28960778678e-09,2.47681191821e-08,3.3477838398e-08,5.21655480886e-05,5.76621438572e-10,1.62577513915e-06,0.000331605213606,0.0168951756425,7.2335594765e-07,0.00565629680304,0.841505918851,3.57741699561e-05,0.00786677991811,4.16369695548e-06,0.0535694108285,1.28681554816e-07,0.0215083414064,1.08940458148e-05,0.00716258938921,3.86577678956e-07,9.76094657343e-06,1.07053576377e-06,9.48754980653e-07,0.00120659439677,4.87953502084e-10,2.67175763793e-07
rmd,10,1,10,200,10,50,1000,1.60750979998e-07,0.000351982483036,4.7219435879e-10,2.44036416606e-06,0.0434538745499,7.28362677385e-09,9.64906793371e-05,8.41490560536e-10,0.00138802888165,2.68820620725e-09,0.000836735825483,4.02381109568e-08,0.00010829166515,1.94897525625e-07,3.13319102501e-09,2.66888565668e-08,2.67759310543e-08,1.24413012767e-05,8.59530271606e-11,2.86146751421e-07,1.04473045709e-05,0.000351982483036,6.69525420263e-13,4.01848827461e-05,0.857752365792,1.58739518879e-09,0.00463614288252,1.02514851519e-06,0.0594977517607,2.62479728995e-12,0.0279810532788,4.34077671855e-06,0.00310712454969,1.4307391533e-07,6.82909239728e-06,4.29204105683e-07,3.2379810046e-07,0.000358791683945,6.15478343105e-11,2.68831768836e-08
rmd,10,1,10,200,15,50,1000,3.71043188007e-08,7.03011152371e-06,1.19965518621e-09,2.36063899668e-08,0.0451333957505,1.37464623436e-09,3.68074201639e-05,2.57030940775e-09,0.00191351137227,1.77532552302e-09,0.000969613884403,2.34865281208e-08,1.82666430208e-05,3.74924470868e-05,2.23582870693e-08,1.20480831098e-08,1.53353605472e-06,1.16082984974e-06,7.2363296236e-10,2.40141867602e-08,1.35022900292e-07,7.03011152371e-06,1.71982821074e-18,3.41056454917e-07,0.848953974791,2.17879419115e-13,0.00213428798524,9.17176761255e-07,0.0689722088676,1.67314100847e-12,0.0295640359917,9.009933201e-06,0.00111097168522,0.000701089951044,0.000227131076121,6.58440992464e-07,1.03975986281e-05,0.000188845259654,4.38434439827e-10,2.35497379749e-09
rmd,10,1,15,200,1,50,1000,1.42829765046e-05,0.136617642409,0.00418870925368,0.0248753817409,0.079689568602,0.00749828008498,0.00845741786549,3.98890182771e-06,0.00751814912079,9.43633872648e-05,0.00559237901926,0.000140951892291,0.00262084415533,1.69424447974e-05,7.67831700614e-06,5.00983936837e-05,9.80051892975e-06,0.00108421834434,9.44899094006e-06,1.46124290103e-05,0.00697178831861,0.136617642409,0.017735198512,0.106495411563,0.29117518049,0.0377884364772,0.0511846225287,0.000649302548394,0.0261859058024,0.00095726147758,0.021208216766,0.000481990415374,0.0165247055266,1.25618631847e-05,7.35897590748e-05,0.000400368958721,6.24706973155e-05,0.00695999414125,9.02669003882e-06,1.56620868423e-06
rmd,10,1,15,200,5,50,1000,2.80220157329e-11,0.0189853807652,2.1230310069e-07,3.93257551227e-05,0.0291043772838,5.88067450777e-07,2.36262470697e-06,1.96240064296e-12,0.00111053003097,8.71931187431e-11,0.000435897803137,1.47793922875e-08,9.31012246737e-05,7.28988783798e-06,6.29092653905e-12,4.11336648461e-10,1.89601901763e-07,2.23506468332e-07,2.67529745964e-12,2.60050889816e-11,3.83884533361e-06,0.0189853807652,6.93808916119e-07,0.0053011338327,0.798072209514,2.88457319596e-05,0.0014463423623,5.0614746268e-06,0.0646912753222,3.33823065977e-08,0.0456750138873,1.55889413873e-05,0.0127988908498,0.00286914390859,9.4996949634e-05,4.30724158477e-07,2.76474396558e-05,0.000203978059848,2.0825756575e-12,1.09689397563e-12
