t11_initial,alpha,k,sample_amount,learning_parameter,epsilon,delta,t11_final
0.0827170673887,1,1,5,1,0.1,0.1,0.0838506086605
0.081921190632,1,1,5,1,0.1,0.3,0.0758256194017
0.0812151759967,1,1,5,1,0.1,0.5,0.0690665907563
0.0843864752199,1,1,5,1,0.1,0.8,0.0627298788817
0.0824569221608,1,1,5,1,0.3,0.1,0.074976544259
0.0813282980685,1,1,5,1,0.3,0.3,0.0695726565195
0.0855193700323,1,1,5,1,0.3,0.5,0.0639116925498
0.0828501446289,1,1,5,1,0.3,0.8,0.0640725402661
0.0852228816916,1,1,5,1,0.5,0.1,0.0681356601001
0.0829964878715,1,1,5,1,0.5,0.3,0.0644129567402
0.0847527730757,1,1,5,1,0.5,0.5,0.0629528390754
0.0834480756924,1,1,5,1,0.5,0.8,0.0643862838529
0.0828394634962,1,1,5,1,0.8,0.1,0.0635451258435
0.0826357344995,1,1,5,1,0.8,0.3,0.0638555919426
0.0835184737511,1,1,5,1,0.8,0.5,0.0662415452637
0.0848160097139,1,1,5,1,0.8,0.8,0.0729828324453
0.0852486047096,1,1,5,3,0.1,0.1,0.172216810624
0.083199385196,1,1,5,3,0.1,0.3,0.144995088383
0.0838315525254,1,1,5,3,0.1,0.5,0.12353716493
0.0824303047711,1,1,5,3,0.1,0.8,0.110325421142
0.0828499949717,1,1,5,3,0.3,0.1,0.144604565719
0.0827557685022,1,1,5,3,0.3,0.3,0.118862542412
0.0833135946729,1,1,5,3,0.3,0.5,0.108962387673
0.0837672747356,1,1,5,3,0.3,0.8,0.10780103009
0.0832283887799,1,1,5,3,0.5,0.1,0.122301987883
0.0828380941158,1,1,5,3,0.5,0.3,0.111749348972
0.0837068923006,1,1,5,3,0.5,0.5,0.10459088744
0.0837118217295,1,1,5,3,0.5,0.8,0.114385249644
0.0823154928636,1,1,5,3,0.8,0.1,0.111196963947
0.0846841242218,1,1,5,3,0.8,0.3,0.10824581454
0.0828130498258,1,1,5,3,0.8,0.5,0.116128158358
0.0835152214423,1,1,5,3,0.8,0.8,0.131502915243
0.0836377331754,1,1,5,5,0.1,0.1,0.238109115252
0.0828182833451,1,1,5,5,0.1,0.3,0.195621552327
0.0829496549423,1,1,5,5,0.1,0.5,0.164018663242
0.0819650101345,1,1,5,5,0.1,0.8,0.142257342621
