alpha,k,sample_amount,learning_parameter,epsilon,delta,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
1,1,5,1,0.1,0.1,0.0830819585449,0.0830819585449,0.0830819585449,0.0834371972054,0.0828208080813,0.083698347669,0.0830819585449,0.0830819585449,0.0830819585449,0.0838506784539,0.0838506086605,0.0838506086605
1,1,5,1,0.1,0.3,0.0869817772123,0.0869817772123,0.0869817772123,0.0818258571433,0.0856657817961,0.0831418525595,0.0869817772123,0.0869817772123,0.0869817772123,0.0758246064241,0.0758256194017,0.0758256194017
1,1,5,1,0.1,0.5,0.0902663904665,0.0902663904665,0.0902663904665,0.0804687097023,0.0884495833757,0.082285516793,0.0902663904665,0.0902663904665,0.0902663904665,0.0690646658175,0.0690665907563,0.0690665907563
1,1,5,1,0.1,0.8,0.0933457749319,0.0933457749319,0.0933457749319,0.0791963593756,0.0914970604876,0.0810450738198,0.0933457749319,0.0933457749319,0.0933457749319,0.0627270989626,0.0627298788817,0.0627298788817
1,1,5,1,0.3,0.1,0.0873943932277,0.0873943932277,0.0873943932277,0.0816553710842,0.0832251774603,0.0858245868516,0.0873943932277,0.0873943932277,0.0873943932277,0.07497541672,0.074976544259,0.074976544259
1,1,5,1,0.3,0.3,0.0900204630706,0.0900204630706,0.0900204630706,0.0805703228026,0.0858788994822,0.084711886391,0.0900204630706,0.0900204630706,0.0900204630706,0.0695707998615,0.0695726565195,0.0695726565195
1,1,5,1,0.3,0.5,0.0927714615146,0.0927714615146,0.0927714615146,0.0794336561056,0.0880020785809,0.0842030390393,0.0927714615146,0.0927714615146,0.0927714615146,0.0639090720868,0.0639116925498,0.0639116925498
1,1,5,1,0.3,0.8,0.0926932960609,0.0926932960609,0.0926932960609,0.079465952768,0.0907103880994,0.0814488607295,0.0926932960609,0.0926932960609,0.0926932960609,0.0640699415055,0.0640725402661,0.0640725402661
1,1,5,1,0.5,0.1,0.0907187849351,0.0907187849351,0.0907187849351,0.0802817878494,0.0821719671837,0.0888286056008,0.0907187849351,0.0907187849351,0.0907187849351,0.0681336095555,0.0681356601001,0.0681356601001
1,1,5,1,0.5,0.3,0.092527867488,0.092527867488,0.092527867488,0.0795343050965,0.0844746991671,0.0875874734175,0.092527867488,0.092527867488,0.092527867488,0.0644104039102,0.0644129567402,0.0644129567402
1,1,5,1,0.5,0.5,0.0932374253381,0.0932374253381,0.0932374253381,0.0792411276215,0.0867716727191,0.0857068802405,0.0932374253381,0.0932374253381,0.0932374253381,0.0629500892392,0.0629528390754,0.0629528390754
1,1,5,1,0.5,0.8,0.0925408294274,0.0925408294274,0.0925408294274,0.0795289494393,0.0890919697009,0.0829778091657,0.0925408294274,0.0925408294274,0.0925408294274,0.0643837274241,0.0643862838529,0.0643862838529
1,1,5,1,0.8,0.1,0.0929495980377,0.0929495980377,0.0929495980377,0.0793600530638,0.0800384705528,0.0922711805487,0.0929495980377,0.0929495980377,0.0929495980377,0.0635424559215,0.0635451258435,0.0635451258435
1,1,5,1,0.8,0.3,0.09279872413,0.09279872413,0.09279872413,0.0794223916474,0.0816074587956,0.0906136569817,0.09279872413,0.09279872413,0.09279872413,0.0638529639103,0.0638555919426,0.0638555919426
1,1,5,1,0.8,0.5,0.0916392477742,0.0916392477742,0.0916392477742,0.0799014679487,0.0832337388294,0.0883069768935,0.0916392477742,0.0916392477742,0.0916392477742,0.0662392391559,0.0662415452637,0.0662415452637
