stype,l1,l2,l3,proportion
literal,0,0,0,0.00243516352315
literal,0,0,1,0.00211047505339
literal,0,0,2,0.00243516352315
literal,0,0,3,0.00233871965473
literal,0,0,4,0.00246646240987
literal,0,0,5,0.00230120579892
literal,0,1,0,0.00211047505339
literal,0,1,1,0.00178578658364
literal,0,1,2,0.00211047505339
literal,0,1,3,0.00200461684691
literal,0,1,4,0.00213760075522
literal,0,1,5,0.00197246211336
literal,0,2,0,0.00243516352315
literal,0,2,1,0.00211047505339
literal,0,2,2,0.00243516352315
literal,0,2,3,0.00233871965473
literal,0,2,4,0.00246646240987
literal,0,2,5,0.00230120579892
literal,0,3,0,0.00233519887078
literal,0,3,1,0.0020015990321
literal,0,3,2,0.00233519887078
literal,0,3,3,0.00224148212983
literal,0,3,4,0.00236975628466
literal,0,3,5,0.00219984610826
literal,0,4,0,0.00246594136237
literal,0,4,1,0.00213714918072
literal,0,4,2,0.00246594136237
literal,0,4,3,0.00237330094463
literal,0,4,4,0.00249979308023
literal,0,4,5,0.00233252739555
literal,0,5,0,0.00229954085172
literal,0,5,1,0.00197103501576
literal,0,5,2,0.00229954085172
literal,0,5,3,0.00220173581801
literal,0,5,4,0.00233114911547
literal,0,5,5,0.00216375838485
literal,1,0,0,0.00211047505339
literal,1,0,1,0.00178578658364
literal,1,0,2,0.00211047505339
literal,1,0,3,0.00200461684691
literal,1,0,4,0.00213760075522
literal,1,0,5,0.00197246211336
literal,1,1,0,0.00178578658364
literal,1,1,1,0.00146109811389
literal,1,1,2,0.00178578658364
literal,1,1,3,0.00167051403909
literal,1,1,4,0.00180873910057
literal,1,1,5,0.0016437184278
literal,1,2,0,0.00211047505339
literal,1,2,1,0.00178578658364
literal,1,2,2,0.00211047505339
literal,1,2,3,0.00200461684691
literal,1,2,4,0.00213760075522
literal,1,2,5,0.00197246211336
literal,1,3,0,0.0020015990321
literal,1,3,1,0.00166799919342
literal,1,3,2,0.0020015990321
literal,1,3,3,0.00189663872524
literal,1,3,4,0.00203121967256
literal,1,3,5,0.00186140824545
literal,1,4,0,0.00213714918072
literal,1,4,1,0.00180835699907
literal,1,4,2,0.00213714918072
literal,1,4,3,0.00203425795254
literal,1,4,4,0.0021664873362
literal,1,4,5,0.00199930919618
literal,1,5,0,0.00197103501576
literal,1,5,1,0.0016425291798
literal,1,5,2,0.00197103501576
literal,1,5,3,0.00186300723062
literal,1,5,4,0.00199812781326
literal,1,5,5,0.00183087247949
literal,2,0,0,0.00243516352315
literal,2,0,1,0.00211047505339
literal,2,0,2,0.00243516352315
literal,2,0,3,0.00233871965473
literal,2,0,4,0.00246646240987
literal,2,0,5,0.00230120579892
literal,2,1,0,0.00211047505339
literal,2,1,1,0.00178578658364
literal,2,1,2,0.00211047505339
literal,2,1,3,0.00200461684691
literal,2,1,4,0.00213760075522
literal,2,1,5,0.00197246211336
literal,2,2,0,0.00243516352315
literal,2,2,1,0.00211047505339
literal,2,2,2,0.00243516352315
literal,2,2,3,0.00233871965473
literal,2,2,4,0.00246646240987
literal,2,2,5,0.00230120579892
literal,2,3,0,0.00233519887078
literal,2,3,1,0.0020015990321
literal,2,3,2,0.00233519887078
literal,2,3,3,0.00224148212983
literal,2,3,4,0.00236975628466
literal,2,3,5,0.00219984610826
literal,2,4,0,0.00246594136237
literal,2,4,1,0.00213714918072
literal,2,4,2,0.00246594136237
literal,2,4,3,0.00237330094463
literal,2,4,4,0.00249979308023
literal,2,4,5,0.00233252739555
literal,2,5,0,0.00229954085172
literal,2,5,1,0.00197103501576
literal,2,5,2,0.00229954085172
literal,2,5,3,0.00220173581801
literal,2,5,4,0.00233114911547
literal,2,5,5,0.00216375838485
literal,3,0,0,0.00233798332812
literal,3,0,1,0.00200398570982
literal,3,0,2,0.00233798332812
literal,3,0,3,0.00224476337727
literal,3,0,4,0.00237342472238
literal,3,0,5,0.00220237749138
literal,3,1,0,0.00200398570982
literal,3,1,1,0.00166998809151
literal,3,1,2,0.00200398570982
literal,3,1,3,0.00189941516538
literal,3,1,4,0.00203436404775
literal,3,1,5,0.00186355018502
literal,3,2,0,0.00233798332812
literal,3,2,1,0.00200398570982
literal,3,2,2,0.00233798332812
literal,3,2,3,0.00224476337727
literal,3,2,4,0.00237342472238
literal,3,2,5,0.00220237749138
literal,3,3,0,0.00223974585789
