stype,l1,l2,l3,proportion
literal,0,0,0,1.96251197997e-22
literal,0,0,1,1.84137210727e-24
literal,0,0,2,1.38306593205e-21
literal,0,0,3,2.40207572541e-24
literal,0,0,4,8.04575888437e-24
literal,0,0,5,2.25158143197e-24
literal,0,1,0,2.54531586094e-24
literal,0,1,1,7.95569179713e-26
literal,0,1,2,6.24352632728e-24
literal,0,1,3,2.61940680258e-26
literal,0,1,4,4.84600899395e-26
literal,0,1,5,1.09046629397e-25
literal,0,2,0,8.27633676822e-22
literal,0,2,1,1.78496150058e-24
literal,0,2,2,6.56631033362e-22
literal,0,2,3,7.10012477374e-25
literal,0,2,4,1.60536006985e-22
literal,0,2,5,8.5094141509e-24
literal,0,3,0,4.25573238928e-14
literal,0,3,1,2.83032221057e-16
literal,0,3,2,2.32567663765e-14
literal,0,3,3,9.21088788004e-17
literal,0,3,4,4.86537982729e-15
literal,0,3,5,4.79660588761e-16
literal,0,4,0,1.94422868001e-17
literal,0,4,1,2.80723092482e-19
literal,0,4,2,1.36568496283e-17
literal,0,4,3,3.10983443739e-20
literal,0,4,4,2.47417925935e-18
literal,0,4,5,5.26731552678e-20
literal,0,5,0,6.1961295648e-19
literal,0,5,1,1.90584641816e-20
literal,0,5,2,3.05851825455e-19
literal,0,5,3,1.08350057537e-21
literal,0,5,4,8.84728654973e-20
literal,0,5,5,4.88526122988e-21
literal,1,0,0,3.63565056006e-24
literal,1,0,1,2.24259963628e-26
literal,1,0,2,3.71554843243e-24
literal,1,0,3,3.9151225395e-26
literal,1,0,4,2.71834695338e-24
literal,1,0,5,3.49248526603e-26
literal,1,1,0,8.8294743838e-27
literal,1,1,1,7.22659230857e-29
literal,1,1,2,1.88483432535e-26
literal,1,1,3,1.32921529248e-29
literal,1,1,4,1.05915530606e-27
literal,1,1,5,1.48561213902e-28
literal,1,2,0,6.57586487724e-25
literal,1,2,1,9.54504343554e-26
literal,1,2,2,6.32245206185e-24
literal,1,2,3,5.77253450467e-27
literal,1,2,4,1.83631283539e-24
literal,1,2,5,1.32028533412e-25
literal,1,3,0,1.10837790472e-16
literal,1,3,1,1.03502676379e-18
literal,1,3,2,6.3797461772e-17
literal,1,3,3,1.91352577155e-19
literal,1,3,4,1.09415575707e-16
literal,1,3,5,1.50603792289e-18
literal,1,4,0,2.07592352346e-19
literal,1,4,1,2.11830275984e-22
literal,1,4,2,1.22943204238e-19
literal,1,4,3,1.3233380981e-21
literal,1,4,4,4.20689719406e-20
literal,1,4,5,9.21258619724e-21
literal,1,5,0,1.80911346049e-20
literal,1,5,1,3.01130491377e-24
literal,1,5,2,2.11546849914e-20
literal,1,5,3,9.99744044326e-24
literal,1,5,4,1.91377082754e-22
literal,1,5,5,4.55561375414e-23
literal,2,0,0,2.80405045793e-22
literal,2,0,1,2.12144516767e-24
literal,2,0,2,2.9689316106e-23
literal,2,0,3,2.06988710847e-24
literal,2,0,4,9.38911269169e-24
literal,2,0,5,4.27687664932e-24
literal,2,1,0,1.11314966428e-23
literal,2,1,1,3.16882510014e-25
literal,2,1,2,5.31182544795e-24
literal,2,1,3,6.05694647443e-27
literal,2,1,4,6.62210458168e-24
literal,2,1,5,4.08011363126e-27
literal,2,2,0,1.58962260874e-22
literal,2,2,1,2.62008146161e-25
literal,2,2,2,1.75774944584e-21
literal,2,2,3,2.4880936126e-24
literal,2,2,4,1.52197924686e-22
literal,2,2,5,2.56276242419e-24
literal,2,3,0,1.34177726617e-13
literal,2,3,1,1.18016223395e-16
literal,2,3,2,4.99979320151e-14
literal,2,3,3,8.94834180762e-17
literal,2,3,4,1.01974580507e-14
literal,2,3,5,1.02037348989e-15
literal,2,4,0,1.02137192448e-17
literal,2,4,1,8.75070528603e-20
literal,2,4,2,2.14521667268e-18
literal,2,4,3,1.37122692892e-19
literal,2,4,4,1.27212862814e-17
literal,2,4,5,1.8640367549e-19
literal,2,5,0,4.17682788288e-19
literal,2,5,1,7.14234530053e-24
literal,2,5,2,9.32736464657e-19
literal,2,5,3,2.46692685227e-21
literal,2,5,4,2.42702376182e-20
literal,2,5,5,2.51058754857e-22
literal,3,0,0,8.19537724984e-25
literal,3,0,1,3.10432063419e-27
literal,3,0,2,8.08623556764e-25
literal,3,0,3,6.42703183314e-22
literal,3,0,4,3.19027439886e-23
literal,3,0,5,8.56426041599e-25
literal,3,1,0,1.39454288594e-27
literal,3,1,1,5.83421375753e-29
literal,3,1,2,5.6858457789e-26
literal,3,1,3,1.06720888746e-23
literal,3,1,4,5.13896899813e-26
literal,3,1,5,6.9215485034e-27
literal,3,2,0,1.56986607154e-24
literal,3,2,1,6.30978801512e-27
literal,3,2,2,6.73844473121e-25
literal,3,2,3,1.51631263921e-21
literal,3,2,4,1.14864145627e-23
literal,3,2,5,2.46851909829e-24
literal,3,3,0,7.4134434689e-18
literal,3,3,1,6.09472149112e-19
literal,3,3,2,9.14354455086e-17
literal,3,3,3,1.85148524582e-18
literal,3,3,4,1.3845199336e-17
literal,3,3,5,2.58242060669e-18
literal,3,4,0,1.65622784491e-20
literal,3,4,1,2.44719673357e-22
literal,3,4,2,2.94629455121e-20
literal,3,4,3,1.63133518283e-21
literal,3,4,4,2.53171796243e-21
literal,3,4,5,3.12126180212e-21
literal,3,5,0,2.66092989912e-22
literal,3,5,1,3.49418445511e-24
literal,3,5,2,6.3191107947e-22
literal,3,5,3,2.35111569416e-22
literal,3,5,4,1.02154086523e-21
literal,3,5,5,1.09260541192e-22
literal,4,0,0,8.79165019681e-24
literal,4,0,1,1.46862210766e-25
literal,4,0,2,4.11225668018e-23
literal,4,0,3,3.18909376547e-24
literal,4,0,4,1.85741495606e-23
literal,4,0,5,1.74827656646e-24
literal,4,1,0,7.86286063131e-25
literal,4,1,1,1.26744151526e-27
literal,4,1,2,3.60083606761e-26
literal,4,1,3,2.44178029234e-26
literal,4,1,4,2.27933636105e-26
literal,4,1,5,5.15213973817e-27
literal,4,2,0,3.62293188648e-23
literal,4,2,1,5.10922555607e-25
literal,4,2,2,1.02743285869e-22
literal,4,2,3,1.04023137885e-24
literal,4,2,4,3.00799524879e-23
literal,4,2,5,4.27467772082e-26
literal,4,3,0,2.32404792501e-16
literal,4,3,1,2.12436155096e-17
literal,4,3,2,4.94589008343e-15
literal,4,3,3,6.87547738763e-19
literal,4,3,4,6.15933150111e-17
literal,4,3,5,3.68132229197e-17
literal,4,4,0,1.12920868605e-18
literal,4,4,1,3.08333295601e-20
literal,4,4,2,7.63428757381e-19
literal,4,4,3,2.63654988669e-21
literal,4,4,4,1.10692470863e-20
literal,4,4,5,1.735699268e-20
literal,4,5,0,1.24010924593e-19
literal,4,5,1,3.26555157391e-22
literal,4,5,2,1.47842915316e-19
literal,4,5,3,2.6495724256e-21
literal,4,5,4,9.98406324052e-21
literal,4,5,5,2.63989352681e-22
literal,5,0,0,1.5676589468e-24
literal,5,0,1,8.95017074271e-26
literal,5,0,2,4.25634945451e-24
literal,5,0,3,1.17786320572e-25
