stype,l1,l2,l3,proportion
literal,0,0,0,0.000678682861197
literal,0,0,1,0.000588191813037
literal,0,0,2,0.000678682861197
literal,0,0,3,0.000858399429448
literal,0,0,4,0.000757830170118
literal,0,0,5,0.000705677823285
literal,0,1,0,0.000588191813037
literal,0,1,1,0.000497700764877
literal,0,1,2,0.000588191813037
literal,0,1,3,0.000735770939527
literal,0,1,4,0.000656786147436
literal,0,1,5,0.000604866705673
literal,0,2,0,0.000678682861197
literal,0,2,1,0.000588191813037
literal,0,2,2,0.000678682861197
literal,0,2,3,0.000858399429448
literal,0,2,4,0.000757830170118
literal,0,2,5,0.000705677823285
literal,0,3,0,0.000863877964549
literal,0,3,1,0.000740466826756
literal,0,3,2,0.000863877964549
literal,0,3,3,0.00180409581633
literal,0,3,4,0.00111113836161
literal,0,3,5,0.00102816845622
literal,0,4,0,0.000764742358789
literal,0,4,1,0.00066277671095
literal,0,4,2,0.000764742358789
literal,0,4,3,0.00118995301466
literal,0,4,4,0.000889845797029
literal,0,4,5,0.000829264485403
literal,0,5,0,0.000704818255409
literal,0,5,1,0.000604129933208
literal,0,5,2,0.000704818255409
literal,0,5,3,0.00101087902673
literal,0,5,4,0.000815135176955
literal,0,5,5,0.000752563480502
literal,1,0,0,0.000588191813037
literal,1,0,1,0.000497700764877
literal,1,0,2,0.000588191813037
literal,1,0,3,0.000735770939527
literal,1,0,4,0.000656786147436
literal,1,0,5,0.000604866705673
literal,1,1,0,0.000497700764877
literal,1,1,1,0.000407209716718
literal,1,1,2,0.000497700764877
literal,1,1,3,0.000613142449606
literal,1,1,4,0.000555742124753
literal,1,1,5,0.00050405558806
literal,1,2,0,0.000588191813037
literal,1,2,1,0.000497700764877
literal,1,2,2,0.000588191813037
literal,1,2,3,0.000735770939527
literal,1,2,4,0.000656786147436
literal,1,2,5,0.000604866705673
literal,1,3,0,0.000740466826756
literal,1,3,1,0.000617055688964
literal,1,3,2,0.000740466826756
literal,1,3,3,0.00152654261382
literal,1,3,4,0.000952404309955
literal,1,3,5,0.000869988693725
literal,1,4,0,0.00066277671095
literal,1,4,1,0.000560811063112
literal,1,4,2,0.00066277671095
literal,1,4,3,0.00101995972685
literal,1,4,4,0.000771199690758
literal,1,4,5,0.000710798130345
literal,1,5,0,0.000604129933208
literal,1,5,1,0.000503441611006
literal,1,5,2,0.000604129933208
literal,1,5,3,0.000855359176462
literal,1,5,4,0.000698687294533
literal,1,5,5,0.000636784483501
literal,2,0,0,0.000678682861197
literal,2,0,1,0.000588191813037
literal,2,0,2,0.000678682861197
literal,2,0,3,0.000858399429448
literal,2,0,4,0.000757830170118
literal,2,0,5,0.000705677823285
literal,2,1,0,0.000588191813037
literal,2,1,1,0.000497700764877
literal,2,1,2,0.000588191813037
literal,2,1,3,0.000735770939527
literal,2,1,4,0.000656786147436
literal,2,1,5,0.000604866705673
literal,2,2,0,0.000678682861197
literal,2,2,1,0.000588191813037
literal,2,2,2,0.000678682861197
literal,2,2,3,0.000858399429448
literal,2,2,4,0.000757830170118
literal,2,2,5,0.000705677823285
literal,2,3,0,0.000863877964549
literal,2,3,1,0.000740466826756
literal,2,3,2,0.000863877964549
literal,2,3,3,0.00180409581633
literal,2,3,4,0.00111113836161
literal,2,3,5,0.00102816845622
literal,2,4,0,0.000764742358789
literal,2,4,1,0.00066277671095
literal,2,4,2,0.000764742358789
literal,2,4,3,0.00118995301466
literal,2,4,4,0.000889845797029
literal,2,4,5,0.000829264485403
literal,2,5,0,0.000704818255409
literal,2,5,1,0.000604129933208
literal,2,5,2,0.000704818255409
literal,2,5,3,0.00101087902673
literal,2,5,4,0.000815135176955
literal,2,5,5,0.000752563480502
literal,3,0,0,0.000834700418802
literal,3,0,1,0.00071545750183
literal,3,0,2,0.000834700418802
literal,3,0,3,0.0012508070774
literal,3,0,4,0.000931385264077
literal,3,0,5,0.0008654948457
literal,3,1,0,0.00071545750183
literal,3,1,1,0.000596214584859
literal,3,1,2,0.00071545750183
literal,3,1,3,0.00105837521934
literal,3,1,4,0.000798330226352
literal,3,1,5,0.000732341792515
literal,3,2,0,0.000834700418802
literal,3,2,1,0.00071545750183
literal,3,2,2,0.000834700418802
literal,3,2,3,0.0012508070774
literal,3,2,4,0.000931385264077
literal,3,2,5,0.0008654948457
literal,3,3,0,0.00114902600045
literal,3,3,1,0.00097225276961
literal,3,3,2,0.00114902600045
literal,3,3,3,0.00300363710661
literal,3,3,4,0.00136619642536
literal,3,3,5,0.00133856072762
literal,3,4,0,0.00102068210111
literal,3,4,1,0.00087487037238
literal,3,4,2,0.00102068210111
literal,3,4,3,0.0020633652143
literal,3,4,4,0.00120038302783
literal,3,4,5,0.00107870666684
literal,3,5,0,0.000890326287021
literal,3,5,1,0.000753353012094
literal,3,5,2,0.000890326287021
literal,3,5,3,0.00154042926035
literal,3,5,4,0.000966043579811
literal,3,5,5,0.000963892969319
literal,4,0,0,0.000743370381373
literal,4,0,1,0.000644254330524
literal,4,0,2,0.000743370381373
literal,4,0,3,0.00094740999908
literal,4,0,4,0.000813323128212
literal,4,0,5,0.00077308029691
literal,4,1,0,0.000644254330524
literal,4,1,1,0.000545138279674
literal,4,1,2,0.000644254330524
literal,4,1,3,0.000812065713497
literal,4,1,4,0.000704880044451
literal,4,1,5,0.000662640254495
literal,4,2,0,0.000743370381373
literal,4,2,1,0.000644254330524
literal,4,2,2,0.000743370381373
literal,4,2,3,0.00094740999908
literal,4,2,4,0.000813323128212
literal,4,2,5,0.00077308029691
literal,4,3,0,0.000919732110023
literal,4,3,1,0.000788341808591
literal,4,3,2,0.000919732110023
literal,4,3,3,0.00168034103891
literal,4,3,4,0.00108455997199
literal,4,3,5,0.00101713161076
literal,4,4,0,0.000847756749556
literal,4,4,1,0.000734722516282
literal,4,4,2,0.000847756749556
literal,4,4,3,0.00118289395818
literal,4,4,4,0.0009455332015
literal,4,4,5,0.000880984234171
literal,4,5,0,0.000771270496511
literal,4,5,1,0.000661088997009
