stype,l1,l2,l3,proportion
literal,0,0,0,1.76086644019e-33
literal,0,0,1,9.57242939274e-34
literal,0,0,2,4.45487963338e-33
literal,0,0,3,2.6640200466e-26
literal,0,0,4,1.01297591506e-29
literal,0,0,5,2.22735481831e-29
literal,0,1,0,2.61421021249e-33
literal,0,1,1,2.9502419507e-34
literal,0,1,2,1.75498103099e-33
literal,0,1,3,1.00531360896e-26
literal,0,1,4,5.81075236984e-31
literal,0,1,5,1.80933099702e-30
literal,0,2,0,4.3907577009e-33
literal,0,2,1,8.30713534592e-34
literal,0,2,2,2.34708043806e-33
literal,0,2,3,2.29207424373e-26
literal,0,2,4,8.13394491837e-30
literal,0,2,5,2.69172084842e-30
literal,0,3,0,6.8690772989e-25
literal,0,3,1,1.12856875349e-25
literal,0,3,2,6.20634343163e-25
literal,0,3,3,6.14738646353e-20
literal,0,3,4,1.67920693124e-22
literal,0,3,5,3.88865867118e-23
literal,0,4,0,8.10436141385e-30
literal,0,4,1,9.90461167984e-30
literal,0,4,2,5.66113485073e-29
literal,0,4,3,1.00327649281e-22
literal,0,4,4,6.33972675167e-26
literal,0,4,5,5.1459180152e-27
literal,0,5,0,1.00755946665e-28
literal,0,5,1,1.16484976319e-29
literal,0,5,2,8.7272724406e-29
literal,0,5,3,4.24438597983e-23
literal,0,5,4,4.64234122048e-26
literal,0,5,5,5.7849478943e-26
literal,1,0,0,2.24795212717e-33
literal,1,0,1,3.87715513854e-34
literal,1,0,2,6.73709428287e-34
literal,1,0,3,1.46742529198e-26
literal,1,0,4,2.49471204447e-29
literal,1,0,5,1.10422561329e-29
literal,1,1,0,1.62246237126e-34
literal,1,1,1,3.61114145555e-34
literal,1,1,2,3.5717898209e-34
literal,1,1,3,7.29978419591e-27
literal,1,1,4,4.2902207075e-30
literal,1,1,5,1.09178981516e-30
literal,1,2,0,8.04514728743e-34
literal,1,2,1,1.74552219757e-34
literal,1,2,2,1.08459212709e-33
literal,1,2,3,1.1878292109e-25
literal,1,2,4,1.24808992124e-29
literal,1,2,5,4.42915848812e-30
literal,1,3,0,1.38978434319e-25
literal,1,3,1,1.41944067848e-26
literal,1,3,2,7.96213587921e-26
literal,1,3,3,2.1389646169e-19
literal,1,3,4,7.48539922325e-23
literal,1,3,5,1.37468354874e-23
literal,1,4,0,1.06033715008e-29
literal,1,4,1,1.90564491359e-30
literal,1,4,2,1.19659961218e-30
literal,1,4,3,1.12782270358e-23
literal,1,4,4,8.47853925832e-27
literal,1,4,5,4.05465910589e-27
literal,1,5,0,5.3049270415e-30
literal,1,5,1,1.6598601453e-30
literal,1,5,2,9.80716206548e-30
literal,1,5,3,1.00029551422e-22
literal,1,5,4,2.49870854823e-26
literal,1,5,5,6.03417704776e-27
literal,2,0,0,1.73080958124e-33
literal,2,0,1,9.83014981561e-34
literal,2,0,2,3.04267761387e-33
literal,2,0,3,7.09700416993e-26
literal,2,0,4,8.05930466694e-31
literal,2,0,5,6.17044431408e-30
literal,2,1,0,8.19164368209e-34
literal,2,1,1,4.46104561769e-34
literal,2,1,2,9.55403888948e-34
literal,2,1,3,1.66682365488e-26
literal,2,1,4,1.16900187108e-30
literal,2,1,5,1.08550198658e-29
literal,2,2,0,5.19507250973e-33
literal,2,2,1,2.06481669888e-33
literal,2,2,2,1.11189653902e-32
literal,2,2,3,3.84775787374e-26
literal,2,2,4,4.86525566065e-30
literal,2,2,5,1.69857196651e-29
literal,2,3,0,1.42271063004e-25
literal,2,3,1,8.46006440854e-27
literal,2,3,2,8.76206040762e-26
literal,2,3,3,1.06084723547e-19
literal,2,3,4,2.23471943156e-22
literal,2,3,5,2.38758293899e-23
literal,2,4,0,4.85610843778e-29
literal,2,4,1,1.65502867388e-29
literal,2,4,2,2.34111214376e-30
literal,2,4,3,1.03184872152e-23
literal,2,4,4,3.42316183503e-26
literal,2,4,5,4.34845460894e-27
literal,2,5,0,2.19859844707e-29
literal,2,5,1,1.93124368257e-29
literal,2,5,2,1.01638236809e-28
literal,2,5,3,1.62597341821e-23
literal,2,5,4,1.12087038431e-25
literal,2,5,5,2.10413600705e-26
literal,3,0,0,2.43278002029e-26
literal,3,0,1,1.08520374859e-26
literal,3,0,2,5.65459717186e-26
literal,3,0,3,2.03986841191e-20
literal,3,0,4,1.99785341458e-24
literal,3,0,5,2.10346488384e-23
literal,3,1,0,3.37575082437e-27
literal,3,1,1,7.84603019217e-27
literal,3,1,2,7.90869232486e-27
literal,3,1,3,6.14430346464e-21
literal,3,1,4,2.15913310697e-24
literal,3,1,5,1.20959213635e-23
literal,3,2,0,3.53214400658e-27
literal,3,2,1,1.56478390413e-26
literal,3,2,2,1.17014785246e-26
literal,3,2,3,1.39809997907e-20
literal,3,2,4,3.13757212292e-24
literal,3,2,5,1.80123694899e-24
literal,3,3,0,4.1554423233e-20
literal,3,3,1,3.57406799463e-20
literal,3,3,2,5.98306225029e-20
literal,3,3,3,3.90284835104e-20
literal,3,3,4,1.74728259515e-20
literal,3,3,5,2.37259804518e-21
literal,3,4,0,3.69373673302e-23
literal,3,4,1,5.06430158486e-24
literal,3,4,2,9.79478416225e-24
literal,3,4,3,1.75908717852e-20
literal,3,4,4,2.49827169862e-23
literal,3,4,5,5.75530777125e-23
literal,3,5,0,2.81074505357e-23
literal,3,5,1,4.0772139466e-23
literal,3,5,2,1.68145376589e-23
literal,3,5,3,6.36222330168e-21
literal,3,5,4,5.07098684768e-24
literal,3,5,5,1.22189461029e-23
literal,4,0,0,3.12070161793e-30
literal,4,0,1,1.70379690095e-31
literal,4,0,2,5.2350770119e-30
literal,4,0,3,5.6468645831e-24
literal,4,0,4,2.26946220927e-27
literal,4,0,5,1.91268392623e-27
literal,4,1,0,2.22600308605e-30
literal,4,1,1,8.92817028168e-32
literal,4,1,2,2.71503876152e-30
literal,4,1,3,1.11040127414e-23
literal,4,1,4,5.89392953287e-28
literal,4,1,5,2.36687485811e-27
literal,4,2,0,4.53772164908e-30
literal,4,2,1,2.91329902342e-30
literal,4,2,2,3.80006633056e-30
literal,4,2,3,7.90044034291e-24
literal,4,2,4,1.7831989608e-27
literal,4,2,5,3.27172237837e-28
literal,4,3,0,3.72727973078e-23
literal,4,3,1,1.49331134121e-24
literal,4,3,2,1.49652935816e-23
literal,4,3,3,1.25948912217e-19
literal,4,3,4,2.61795972397e-22
literal,4,3,5,1.34454164965e-22
literal,4,4,0,5.03764929953e-27
literal,4,4,1,1.62630197562e-27
literal,4,4,2,1.03387632433e-26
literal,4,4,3,3.84091345867e-23
literal,4,4,4,7.52928691235e-26
literal,4,4,5,2.01356295987e-26
literal,4,5,0,1.7232096404e-26
literal,4,5,1,1.74469019432e-27
literal,4,5,2,1.9396849809e-27
literal,4,5,3,3.03565512453e-23
literal,4,5,4,2.71769273272e-25
literal,4,5,5,6.18041080394e-26
literal,5,0,0,2.9290282493e-30
literal,5,0,1,2.4546880632e-31
literal,5,0,2,2.00026722761e-30
literal,5,0,3,7.008708928e-24
literal,5,0,4,5.01328623756e-28
literal,5,0,5,6.1906540326e-27
literal,5,1,0,6.18400236672e-31
literal,5,1,1,7.11179109411e-31
literal,5,1,2,2.03882894004e-30
literal,5,1,3,2.47959965512e-24
literal,5,1,4,1.25018090807e-28
literal,5,1,5,1.66332040149e-28
literal,5,2,0,9.99182696232e-31
literal,5,2,1,1.18105121135e-30
literal,5,2,2,5.45996125859e-30
literal,5,2,3,6.76246745171e-24
literal,5,2,4,9.61203148074e-28
literal,5,2,5,1.79949731645e-27
literal,5,3,0,1.2545698547e-23
literal,5,3,1,1.11590363118e-23
literal,5,3,2,2.54455567873e-23
literal,5,3,3,1.86974075896e-19
literal,5,3,4,3.05010364761e-22
literal,5,3,5,3.79847447373e-22
literal,5,4,0,6.04022450577e-28
literal,5,4,1,4.24024557278e-27
literal,5,4,2,1.57207735097e-27
literal,5,4,3,2.64618904651e-22
literal,5,4,4,1.48109592527e-25
literal,5,4,5,1.65939543487e-26
literal,5,5,0,2.26811383898e-27
literal,5,5,1,7.32818003538e-27
literal,5,5,2,1.2756598098e-26
literal,5,5,3,1.3414014418e-22
literal,5,5,4,4.2868546631e-25
literal,5,5,5,6.47359045947e-26
gricean,0,0,0,9.00847203003e-34
gricean,0,0,1,1.57125484671e-34
gricean,0,0,2,2.24987399075e-33
gricean,0,0,3,3.00073085579e-16
gricean,0,0,4,2.82000601359e-16
gricean,0,0,5,6.84654153365e-17
gricean,0,1,0,1.02789771547e-33
gricean,0,1,1,2.88057787249e-34
gricean,0,1,2,3.02512956414e-34
gricean,0,1,3,1.15172444678e-16
gricean,0,1,4,2.94766009748e-16
gricean,0,1,5,5.72230088207e-17
gricean,0,2,0,1.93844530294e-33
gricean,0,2,1,2.16708817004e-34
gricean,0,2,2,2.83300705326e-33
gricean,0,2,3,4.66024885855e-16
gricean,0,2,4,1.55837271069e-15
gricean,0,2,5,1.04643117233e-16
