t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,lambda,generations,runs,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0.0798674389,0.0815532378,0.0826751518,0.0797409577,0.0846319317,0.0849588476,0.0841199024,0.0868723568,0.0826533862,0.082309496,0.083417491,0.0871998021,1,1,20,1000,0.0199248312,0.0208772799,0.0205794578,0.4137787584,0.090602367,0.0891568642,0.0210746282,0.0223490533,0.0217120272,0.1595670697,0.0598191925,0.0605584707
0.0796152589,0.0817676796,0.0819070145,0.0857944942,0.0857256422,0.0834656809,0.0829476267,0.0850863979,0.0848177662,0.0842517916,0.0792078184,0.0854128289,1,2,20,1000,0.0051137978,0.005114485,0.0054809732,0.292677391,0.0383639276,0.035136997,0.0055553081,0.0057315036,0.0055596114,0.4473551421,0.0742178491,0.0796930142
0.084118508,0.0826613808,0.0824325835,0.0823762845,0.084524628,0.0823097839,0.0813532281,0.0875325382,0.0861671943,0.0783594503,0.0841555406,0.0840088799,1,3,20,1000,0.0017340504,0.0019989089,0.001522836,0.163729783,0.0151790644,0.0150468016,0.0016854601,0.0014388133,0.0018288572,0.5666374642,0.1152690623,0.1139288987
0.0875528478,0.0823086445,0.0831875088,0.0861131615,0.0829977269,0.0823759009,0.0793904472,0.0820482989,0.0842564671,0.0889448384,0.0833706349,0.0774535232,1,4,20,1000,0.001019284,0.0008121412,0.0009776662,0.1041710521,0.0071540901,0.006701497,0.0006744792,0.0007749774,0.0010929635,0.5792015847,0.1527847345,0.1446355302
0.0868748724,0.0825406783,0.0830307649,0.0825702467,0.0791227391,0.0873765619,0.0808625389,0.0847096156,0.087061915,0.0824274982,0.0814209688,0.0820016003,1,5,20,1000,0.0005116081,0.0005200944,0.000420645,0.0693121896,0.0034579184,0.00456375,0.0004816539,0.0003584124,0.0005713385,0.510076923,0.2030765743,0.2066488924
0.0843499588,0.081442029,0.0836762274,0.0828499478,0.0837712081,0.0816414325,0.0818839357,0.0848436798,0.0816297345,0.0857312787,0.0825141757,0.085666392,1,6,20,1000,0.0005178977,0.0004487981,0.0003604426,0.0533305991,0.0028632636,0.0029692667,0.0002229679,0.0002641959,0.0002939472,0.4442043939,0.2414084582,0.2531157692
0.0822628535,0.0870765352,0.0845846337,0.0882721973,0.0793276714,0.0848927619,0.0805093294,0.0821256661,0.0803571181,0.0827312971,0.0785798167,0.0892801196,1,7,20,1000,0.0003171213,0.0003294515,0.0003443177,0.0497049262,0.0021505848,0.001949457,0.000457997,0.0003197257,0.0002316228,0.3895112733,0.2596688604,0.2950146622
0.0833607833,0.0840280956,0.0829662485,0.083335911,0.0846842546,0.0816413145,0.0837067425,0.0821239156,0.0843867771,0.0828077318,0.0807671399,0.0861910855,1,8,20,1000,0.0001451839,0.0001312792,0.0002198261,0.0397480768,0.0017445728,0.0021618708,0.0003043814,0.0001987175,0.0002127587,0.3715407738,0.2803153231,0.3032772359
0.0806691707,0.0850528005,0.0844646769,0.0831942997,0.0835143662,0.0841842,0.0875683716,0.0843459187,0.0790224611,0.0840326003,0.0816669419,0.0822841925,1,9,20,1000,6.71324751583E-05,0.0002980614,0.0002350903,0.0373792035,0.0014818665,0.0015236827,0.0005358253,0.0001208611,8.70198754883E-05,0.355789655,0.3071079056,0.2953736964
0.0865398455,0.0837461375,0.0849502684,0.0840075022,0.0816643364,0.0815469002,0.0831900408,0.0836714857,0.080672563,0.0862768356,0.083195942,0.0805381426,1,10,20,1000,0.0004280784,0.0002436175,0.0003462366,0.0354861228,0.0017457896,0.002244617,0.0006028059,0.0001896485,0.0003438643,0.3476708264,0.3045720974,0.3061262956
0.0850590371,0.0843266025,0.0815368161,0.0792818706,0.0803846272,0.0852906548,0.0821533452,0.0849303898,0.0821304695,0.0847541883,0.0849300205,0.0852219784,1,11,20,1000,7.4516509915E-05,0.000141921,6.64983756899E-05,0.0350755986,0.0013845028,0.0017179743,7.24055017628E-05,6.86247546253E-05,8.54285693335E-05,0.3286420152,0.3192480707,0.3134224436
0.0848637448,0.0860122777,0.0821802723,0.0829313087,0.0854045964,0.078262304,0.0853615557,0.0836754931,0.0862309819,0.0825027942,0.0819181088,0.0806565623,1,12,20,1000,7.94968528783E-05,0.0001224251,7.49423923869E-05,0.0356675337,0.001575711,0.0015039225,0.0002470795,0.0001208812,0.0001535395,0.3257847515,0.3256451969,0.3090245201
0.0851597661,0.0791965992,0.0856626481,0.081504889,0.0828291189,0.0786109114,0.0858163102,0.0856825277,0.0821709453,0.085883428,0.0845378427,0.0829450135,1,13,20,1000,0.0002343362,9.68367219359E-05,0.0001327174,0.031793179,0.0015466263,0.0013542888,0.0001822492,0.0003761185,0.0001335134,0.3318316611,0.3205909703,0.3117275031
0.0811906833,0.0791819804,0.0834179473,0.0820224143,0.0848065783,0.0874852822,0.0826855855,0.0819266476,0.0798940623,0.0835314556,0.0886484127,0.0852089505,1,14,20,1000,4.19409032162E-05,7.31117546786E-05,7.22897968746E-05,0.0310821759,0.0012226554,0.0010885125,3.89906486173E-05,0.000068835,4.59832811803E-05,0.3192181834,0.331359059,0.3156882623
0.0808990114,0.0849945809,0.0829365921,0.0861715815,0.0887355409,0.0819979909,0.0839493335,0.0813177102,0.0869297941,0.0802858269,0.079186806,0.0825952316,1,15,20,1000,0.0001251991,0.000151701,7.64249258356E-05,0.0352140575,0.0016476212,0.0014502311,0.0001811865,0.00009704,0.0001662433,0.3146008312,0.3187731288,0.3275163353
0.0780958744,0.0814922052,0.0836524779,0.0811508215,0.0848279751,0.0872213101,0.082570183,0.0812669666,0.0882893792,0.0833170875,0.0820630533,0.0860526662,1,16,20,1000,0.0000864,0.0001025774,7.05141890688E-05,0.033727873,0.0012827943,0.001404996,0.0002492686,8.04997359461E-05,0.0001471994,0.3230862431,0.3123712351,0.3273903991
0.0816330521,0.0834021312,0.0844845474,0.0864554517,0.083074219,0.0813637527,0.0834948418,0.0808344067,0.0819527099,0.0829151754,0.0835211498,0.0868685623,1,17,20,1000,4.14872512481E-05,7.09782549618E-05,7.23043381563E-05,0.0337051405,0.0014415712,0.0013844246,0.0001288176,0.0001184729,0.0001113091,0.3136796352,0.3191666135,0.3300792455
0.0825316259,0.083696114,0.0869501415,0.0845121061,0.0798322889,0.0831274921,0.0856226254,0.0809917771,0.0799884433,0.0832788674,0.0850802661,0.0843882522,1,18,20,1000,7.06382623933E-05,0.0003979493,0.0002002923,0.0347522106,0.0012119009,0.0013073429,9.42415677156E-05,0.0002570818,0.0002435381,0.3168513978,0.3266664566,0.3179469498
0.0825707793,0.0825517109,0.085287281,0.0829195393,0.0855597078,0.0827149493,0.0815658691,0.0798968802,0.0808943997,0.0853030344,0.0867680726,0.0839677764,1,19,20,1000,5.4227663154E-05,5.65870895358E-05,5.42493340091E-05,0.0313619432,0.0010061366,0.0011139368,4.01515235697E-05,2.88873665214E-05,0.000040873,0.3206082077,0.325297835,0.3203369648
0.0843384042,0.0821876696,0.0826616887,0.0815763057,0.0859951769,0.082433858,0.0844872423,0.0810489196,0.0835813174,0.0822397426,0.0825006764,0.0869489986,1,20,20,1000,0.0001391953,0.0001460132,0.000155693,0.0317150337,0.0017361121,0.0014344278,0.0001539919,0.0001550317,0.0001376409,0.319445217,0.3173375808,0.3274440625
0.0850450812,0.0803610711,0.0756553341,0.082947958,0.0873196729,0.0845356546,0.080633054,0.085461971,0.0836913081,0.0872999473,0.0852253381,0.0818236097,1,21,20,1000,0.0004346952,0.0001871168,0.0002886014,0.0324051569,0.0020038631,0.0015532255,0.0001674263,0.0002118974,0.0001777958,0.3313075033,0.3260296379,0.3052330804
0.0825466879,0.078696475,0.085221894,0.0856886005,0.0851736584,0.0840652295,0.0837632957,0.0843871792,0.0815383734,0.0828540031,0.0788939905,0.0871706129,1,22,20,1000,6.31252923902E-05,5.16678918584E-05,9.86595432992E-05,0.0334257448,0.0013884917,0.0012838166,5.37216290335E-05,4.13315341815E-05,4.54729390413E-05,0.3185604102,0.3076086948,0.337378863
0.0822251795,0.0798365205,0.0863755592,0.0807403802,0.085519976,0.0838900257,0.0876913502,0.0819797615,0.0809723456,0.0798348441,0.0803869365,0.0905471208,1,23,20,1000,5.54298480127E-05,0.0001954224,0.000072925,0.031187262,0.001458676,0.0011920414,0.0001754868,5.26385395065E-05,0.0001187198,0.3122161022,0.3098436632,0.3434316328
0.0842277385,0.083937986,0.082196111,0.0842129547,0.0820641654,0.0855398889,0.0846821744,0.0851025882,0.080796009,0.0813964889,0.0832725688,0.0825713262,1,24,20,1000,0.000233122,0.0001504441,0.0002252809,0.0346994794,0.0017892652,0.0022881581,0.0003475748,0.0001318003,0.0002676576,0.3176364875,0.3179477939,0.324282936
0.084320623,0.0842374886,0.0784349348,0.0833199415,0.0817341431,0.08717114,0.0823805039,0.0864467793,0.0823011744,0.0775267247,0.0867044251,0.0854221214,1,25,20,1000,0.000372096,0.0008288021,0.0003872666,0.0337441197,0.001705529,0.0016893023,0.0002808051,0.0004872158,0.0002599269,0.3018604894,0.3284455309,0.3299389161
0.0856248008,0.0825805309,0.0847525053,0.0793411833,0.0862844827,0.0788743283,0.0808357112,0.0815006028,0.0830371241,0.0864028492,0.0824696829,0.0882961985,1,26,20,1000,0.0001779532,9.50417720118E-05,0.0001189162,0.0317570565,0.001353357,0.0014189106,0.0001439488,0.0001554271,8.97044733546E-05,0.3270593953,0.309854562,0.327775727
0.0820287516,0.0813330981,0.0839189032,0.0834988793,0.0845731399,0.0867015101,0.083183367,0.0841820983,0.0849923687,0.079317935,0.0808942759,0.0853756729,1,27,20,1000,0.0002313132,0.0003013944,0.0003650104,0.0343787299,0.0014187988,0.0013806662,0.0001161465,0.0001305114,0.0001082417,0.3084424247,0.3191411822,0.3339855806
0.0837198947,0.0799987605,0.0833975464,0.0843048056,0.0831897248,0.0815514667,0.084134725,0.0846515234,0.0855120468,0.0845742521,0.0823608507,0.0826044034,1,28,20,1000,0.0001211104,9.63334640854E-05,0.0001857256,0.0337509868,0.0017785656,0.0015999035,0.000155803,0.0001343372,0.000176839,0.3294154897,0.3107045114,0.3218803945
0.0823141225,0.08103026,0.0814932217,0.0845301255,0.0860751971,0.0837434345,0.0858027711,0.0816905866,0.0826845745,0.0840462966,0.0828760253,0.0837133845,1,29,20,1000,0.0001338941,0.0002537132,9.96044230445E-05,0.0341535835,0.0017708441,0.0014001735,0.0004082378,0.0001133412,0.0001695071,0.3167880596,0.3236398835,0.3210691578
0.0861802163,0.0788793721,0.0817145606,0.0808226677,0.0827629588,0.0856189262,0.0833960532,0.0791214383,0.0823864214,0.0888387747,0.0842107409,0.0860678695,1,30,20,1000,0.0001504439,5.08254017968E-05,7.89018841583E-05,0.030722339,0.0015167934,0.0015409328,0.0001206233,8.24293374027E-05,7.28826117818E-05,0.3319270134,0.3133289414,0.3204078735
0.0859266139,0.0860708756,0.08237803,0.0839694821,0.0809917952,0.0819223667,0.086698592,0.0815659138,0.0813299282,0.0855146947,0.0830756147,0.0805560931,1,31,20,1000,0.0003684488,0.000215138,0.0002099353,0.0359543021,0.0021533153,0.0018019562,0.0002829367,0.0002846667,0.0002775937,0.3289666164,0.3189848705,0.3105002204
0.0827516853,0.0868105763,0.0823241947,0.0808765533,0.0868619793,0.0863464029,0.0821455098,0.0813635475,0.0833750071,0.0824486563,0.0815992496,0.0830966378,1,32,20,1000,0.0001523147,0.0001347678,0.000123089,0.0331663527,0.0015416561,0.001537275,0.0001313901,0.0001545736,0.0002838362,0.3186056238,0.3208717727,0.3232973483
0.0872072509,0.086125817,0.0857500122,0.0833264602,0.0836286282,0.0812688439,0.0829017634,0.0816062814,0.0809748155,0.0810371511,0.0849666433,0.0812063329,1,33,20,1000,0.0001138066,0.0001037403,0.0001165198,0.0323267779,0.0015127648,0.0011648995,0.0001246987,0.0001071525,0.0001323104,0.3155277311,0.3269357012,0.3218338971
0.0824463956,0.0834921603,0.0838321141,0.0833980977,0.085078502,0.083902298,0.0830800723,0.0872593143,0.0845618278,0.0804604952,0.080285667,0.0822030557,1,34,20,1000,8.85483638145E-05,0.0001439043,0.0001515719,0.0346787831,0.0015071135,0.0015491674,5.95062958303E-05,0.0001108866,7.46365347668E-05,0.3138266924,0.3206619957,0.3271471938
0.0850981448,0.0848688744,0.0833755828,0.0800546748,0.0873569457,0.084408726,0.0854252119,0.0795599142,0.0840228197,0.0843780196,0.0800790079,0.0813720782,1,35,20,1000,0.0001391688,8.3521783537E-05,0.000084721,0.0339675103,0.0015912615,0.0016357018,7.4132084227E-05,7.61298942518E-05,9.48274274213E-05,0.3296808825,0.311564975,0.3210071678
0.0830670716,0.0854968487,0.0805386327,0.0864485707,0.0829805935,0.0796324063,0.0802758749,0.0876111187,0.0841692724,0.0851731484,0.0813690291,0.083237433,1,36,20,1000,0.0003029019,0.0001720193,0.0002303356,0.0335321666,0.0014690619,0.0015453379,0.000242239,0.000210817,0.0003009121,0.3264905103,0.3113855634,0.3241181351
0.080336062,0.0865598712,0.0857053948,0.0855374225,0.0840493145,0.083580893,0.0821289099,0.0826898472,0.0834588669,0.0848438304,0.0783163242,0.0827932634,1,37,20,1000,5.46377649211E-05,5.90734685547E-05,3.57831293428E-05,0.0342446653,0.0013787776,0.0012772752,0.000050103,4.47601156838E-05,3.40780936666E-05,0.3268997364,0.3084796537,0.3274414562
0.0805030696,0.0877599839,0.0820611095,0.0814188808,0.0859729413,0.0846209173,0.0825822449,0.0836970098,0.0853495382,0.0831849858,0.0823029505,0.0805463686,1,38,20,1000,0.0001590271,0.0002118339,0.0001355162,0.0340132788,0.0017047905,0.0015755047,0.0001641298,0.0001139624,0.0001271531,0.3262787612,0.3228003955,0.3127156467
0.0838296926,0.0856575703,0.0895870742,0.0802481014,0.0861696821,0.0810194048,0.085799973,0.078717131,0.0808237299,0.0841496723,0.0798373276,0.0841606407,1,39,20,1000,0.000164023,0.0001139933,0.0001959311,0.0337814412,0.0015852528,0.001559172,0.000139507,7.6722149865E-05,9.26956450546E-05,0.3175223727,0.3181913335,0.3265775556
0.0840149921,0.0866207027,0.0822626425,0.0846522205,0.0830846806,0.0815014803,0.0822509064,0.0779006317,0.0848814311,0.0850818595,0.0838359754,0.0839124773,1,40,20,1000,0.0001408039,0.0001626424,0.0001818703,0.034369696,0.0017704969,0.0012638628,0.000187113,0.0004942082,7.06616258444E-05,0.3227491661,0.3244787593,0.3141307196
0.0796213156,0.0823344818,0.0828584412,0.0814819285,0.0840977702,0.0853172919,0.0875702953,0.0796705144,0.0821746955,0.087810854,0.082913328,0.0841490836,1,41,20,1000,3.96291705053E-05,0.0001877623,0.0001068771,0.0318940334,0.0015792377,0.0011663307,0.0001653196,9.76619273066E-05,0.0001314674,0.3337750493,0.3156994465,0.315157185
0.0842856973,0.0826989635,0.0862985974,0.0815430376,0.0820515812,0.0835071391,0.0810544312,0.0804219355,0.0858594644,0.0815364726,0.0849510352,0.0857916452,1,42,20,1000,0.0001190167,0.000108629,0.000146897,0.0339300087,0.0014576066,0.0016347433,0.0001752803,0.0001321,0.000131256,0.3147260472,0.3201112246,0.3273271906
0.0808761404,0.0849314264,0.0835087312,0.0819776861,0.0814756266,0.0813936615,0.0848238471,0.0822654548,0.0816687,0.0865797131,0.0851175244,0.0853814883,1,43,20,1000,0.0003844786,0.0002433806,0.0002520743,0.0327654021,0.001839209,0.0016980083,0.0004713491,0.0002029485,0.0002298451,0.3204030402,0.3233059423,0.3182043219
0.0824568789,0.0793326631,0.0886302004,0.080350965,0.0808102416,0.0852255384,0.0828179307,0.0819479092,0.0814875113,0.0882156602,0.0898050154,0.078919486,1,44,20,1000,0.0002122795,0.0001954293,0.0001023539,0.0314071187,0.0012268589,0.0014668728,6.66187980387E-05,0.0001578174,0.0001965282,0.3286679873,0.3335936423,0.3027064928
