run_ID,t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0,0.0127824442628,0.0876184370741,0.110247307607,0.0690243301898,0.0508155025209,0.111954288903,0.126711475172,0.0219408921953,0.0576497336483,0.183933406388,0.106326763906,0.0609954181319,1,0.42,30,5,10,5,20,5.8875641068e-06,3.86434254853e-07,5.8875641068e-06,8.77992888272e-05,5.38279746415e-05,1.08955600712e-05,5.8875641068e-06,3.86434254853e-07,5.8875641068e-06,0.190448792747,0.61892702502,0.190447336285
1,0.0486452864212,0.120969173483,0.149323457159,0.0107355512469,0.128297828272,0.0657878480224,0.0341047984483,0.0248024666338,0.0659376269757,0.0788300139347,0.249804874334,0.0227610750688,1,0.42,30,5,10,5,20,3.84406658387e-06,2.52307911897e-07,3.84406658387e-06,8.78927566963e-05,2.70429660962e-05,2.37384529225e-05,3.84406658387e-06,2.52307911897e-07,3.84406658387e-06,0.190453038771,0.618940823894,0.190451582277
2,0.0519522169501,0.124938405621,0.0139530029772,0.0381577395879,0.00422783073334,0.0617115131507,0.18930098979,0.221380033541,0.0773836808305,0.0804271276272,0.0746874747443,0.0618799844465,1,0.42,30,5,10,5,20,3.34687860509e-06,2.19674642413e-07,3.34687860509e-06,9.21401286307e-05,2.45223187512e-05,1.79202394249e-05,3.34687860509e-06,2.19674642413e-07,3.34687860509e-06,0.190454209383,0.618944628188,0.190452752879
3,0.0575437302451,0.0184501194954,0.00604056182311,0.0526636981947,0.0808249578674,0.0572291233817,0.049574649906,0.0594280738845,0.014963980784,0.132766356313,0.153858558982,0.316656189123,1,0.42,30,5,10,5,20,6.77744869334e-06,4.44842431965e-07,6.77744869334e-06,8.54611110869e-05,8.26853152598e-05,1.01381493205e-05,6.77744869334e-06,4.44842431965e-07,6.77744869334e-06,0.190443185303,0.618908801757,0.190441728884
4,0.221710230553,0.193847526916,0.0430100072386,0.0374816084183,0.0348067277376,0.0451646566489,0.0683312430416,0.0242591751477,0.00778455862563,0.161484462692,0.0453184817075,0.116801321273,1,0.42,30,5,10,5,20,6.98954083731e-06,4.58763243378e-07,6.98954083731e-06,0.000107253389037,6.37314849358e-05,1.09652008755e-05,6.98954083731e-06,4.58763243378e-07,6.98954083731e-06,0.190442320187,0.618905990273,0.190440863775
5,0.182443006629,0.03799253804,0.0605871465748,0.151524204754,0.00723394368655,0.0433560633373,0.057606066442,0.0288224363664,0.134426984002,0.0257155571123,0.205478631089,0.0648134219665,1,0.42,30,5,10,5,20,7.56560503564e-06,4.96573606916e-07,7.56560503564e-06,9.11769731101e-05,6.26532202723e-05,2.96855424944e-05,7.56560503564e-06,4.96573606916e-07,7.56560503564e-06,0.190441568631,0.618903547841,0.190440112225
6,0.104534400727,0.244186260914,0.0490923848994,0.0828484827302,0.0721193472157,0.0487405285998,0.0561720200096,0.027740405234,0.138159615943,0.0594402563205,0.0838174635854,0.033148833821,1,0.42,30,5,10,5,20,5.81840349436e-06,3.81894851248e-07,5.81840349436e-06,9.06879627459e-05,3.73780706645e-05,1.93946358156e-05,5.81840349436e-06,3.81894851248e-07,5.81840349436e-06,0.190449811424,0.61893033555,0.190448354954
7,0.114623838507,0.259603463814,0.0706975568919,0.0211278254087,0.0396620582247,0.0495569994335,0.0175836164258,0.0147675536814,0.165309122747,0.0918472109793,0.149862383109,0.00535837077836,1,0.42,30,5,10,5,20,6.99545499275e-06,4.59151422973e-07,6.99545499275e-06,9.15153178879e-05,8.70744438993e-05,1.36805841144e-05,6.99545499275e-06,4.59151422973e-07,6.99545499275e-06,0.190440349702,0.618899586524,0.190438893305
8,0.0445969089548,0.02650838912,0.0851043421278,0.030725775614,0.019167436255,0.290235321705,0.0608085317999,0.0159987871478,0.0394722074827,0.311953009524,0.0130758887211,0.0623534015472,1,0.42,30,5,10,5,20,1.44217323664e-05,9.46580164499e-07,1.44217323664e-05,9.81256867539e-05,4.42883707438e-05,2.70529258653e-05,1.44217323664e-05,9.46580164499e-07,1.44217323664e-05,0.190438849347,0.618894710618,0.190437392961
9,0.0254479531,0.0109400477708,0.0821261717177,0.038803436817,0.122971079518,0.00784067641633,0.0261542567684,0.0302377367646,0.140578780707,0.40849560542,0.0597010599714,0.0467031950291,1,0.42,30,5,10,5,20,1.03986345453e-05,6.82521416178e-07,1.03986345453e-05,0.000106962221197,5.1460713564e-05,3.46958099385e-05,1.03986345453e-05,6.82521416178e-07,1.03986345453e-05,0.190437510017,0.618890358016,0.190436053641
