run_ID,t1_initial,t2_initial,t3_initial,t4_initial,t5_initial,t6_initial,t7_initial,t8_initial,t9_initial,t10_initial,t11_initial,t12_initial,alpha,prior_cost_c,lambda,k,sample_amount,learning_parameter,generations,t1_final,t2_final,t3_final,t4_final,t5_final,t6_final,t7_final,t8_final,t9_final,t10_final,t11_final,t12_final
0,0.0763914767605,0.0537934934593,0.0161508277007,0.275669280387,0.0378654241552,0.125321831629,0.083740965573,0.0179132529897,0.158229275782,0.0341639933876,0.0355131795371,0.0852469986394,1,0.88,30,5,10,1,20,0.0717593759051,0.00861112510861,0.0717593759051,0.0571758935104,0.0790602414637,0.0461547878147,0.0717593759051,0.00861112510861,0.0717593759051,0.13560181629,0.242145837874,0.135601669209
1,0.0358919873786,0.0626530128452,0.100698404021,0.0152323252241,0.0329820730749,0.0807861347051,0.0103198408885,0.0269022046147,0.15072449169,0.0939677370336,0.173916087199,0.215925701325,1,0.88,30,5,10,1,20,0.0965517428313,0.0115862091398,0.0965517428313,0.0652489321803,0.117028992884,0.0495689351581,0.0965517428313,0.0115862091398,0.0965517428313,0.0947704516039,0.169232883698,0.0947704148709
2,0.125634500555,0.0697066747722,0.0134803965965,0.0695976776486,0.102888821734,0.00389276993657,0.0793267450227,0.133638184225,0.165664102992,0.148326330481,0.0309089776876,0.056934818348,1,0.88,30,5,10,1,20,0.0863407270717,0.0103608872486,0.0863407270717,0.0592256040399,0.0868584585297,0.0529149809575,0.0863407270717,0.0103608872486,0.0863407270717,0.114883623559,0.205149134699,0.114883515431
3,0.0229192717817,0.0468426918571,0.232217772908,0.0919883148591,0.088670529486,0.111018746887,0.0105827471163,0.0718723320509,0.0228998302284,0.124619397214,0.0961643249797,0.0802040406317,1,0.88,30,5,10,1,20,0.127318555517,0.015278226662,0.127318555517,0.0752350930169,0.128087767865,0.0746926838223,0.127318555517,0.015278226662,0.127318555517,0.0481160344026,0.0859216317325,0.0481161137702
4,0.415431727838,0.0484472594733,0.124769931572,0.13540018083,0.0520723701718,0.104025799442,0.0014009650773,0.0405775364799,0.04209683513,0.0250823601962,0.00285431383306,0.0078407199553,1,0.88,30,5,10,1,20,0.0960322491856,0.0115238699023,0.0960322491856,0.0740574854996,0.11110320272,0.0638215588779,0.0960322491856,0.0115238699023,0.0960322491856,0.0908259188655,0.162189165057,0.0908259324322
5,0.0934138034413,0.00377747126009,0.295160010312,0.0724069403599,0.122746648019,0.0735112522749,0.00625700313795,0.00286687111622,0.0401061850729,0.0883541421676,0.044601599518,0.15679807332,1,0.88,30,5,10,1,20,0.125534603217,0.015064152386,0.125534603217,0.0708653335374,0.124568405615,0.0712141429239,0.125534603217,0.015064152386,0.125534603217,0.0531168754611,0.0948516184767,0.0531169063469
6,0.0233695264497,0.112766950422,0.0232880591514,0.0800944156718,0.137542996732,0.0661868251936,0.000382455920798,0.0526373809916,0.0809012291041,0.0110168916586,0.324169184085,0.08764408462,1,0.88,30,5,10,1,20,0.0834851464168,0.01001821757,0.0834851464168,0.0610897618665,0.0974951068239,0.046246034735,0.0834851464168,0.01001821757,0.0834851464168,0.116541377677,0.208109421852,0.116541276237
7,0.0406687261816,0.0117833949692,0.057163182429,0.00637379255369,0.0528509176636,0.0221894395208,0.334375294411,0.0697504872966,0.0187675849047,0.298022142857,0.0520079297067,0.0360471075062,1,0.88,30,5,10,1,20,0.0715143454472,0.00858172145366,0.0715143454472,0.0642256713824,0.0946696290937,0.0453327155279,0.0715143454472,0.00858172145366,0.0715143454472,0.130107932301,0.232335401922,0.130107825076
8,0.00679561459564,0.163784072064,0.00734922681022,0.290782931699,0.0747990644231,0.0712239097963,0.0321802963862,0.0437316824813,0.0972835929015,0.0563442118468,0.126566569279,0.0291588277176,1,0.88,30,5,10,1,20,0.0940812306981,0.0112897476838,0.0940812306981,0.0693747109151,0.113069526176,0.06207825426,0.0940812306981,0.0112897476838,0.0940812306981,0.0941891427032,0.168194838324,0.0941891094615
9,0.0203921203258,0.035214369704,0.118427371049,0.0581185312085,0.0197977609305,0.123148077012,0.169305518404,0.0447439412013,0.0831241894299,0.0579013179165,0.0771287751349,0.192698027683,1,0.88,30,5,10,1,20,0.0875084397694,0.0105010127723,0.0875084397694,0.0708790087184,0.104368450876,0.0536435784427,0.0875084397694,0.0105010127723,0.0875084397694,0.105679735348,0.188713744867,0.105679697126
